shape_area,shape_leng,ward,TOTPOP,HISP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHVAP,X2MOREVAP
69757593.85,102569.7015,1,56152.39245,24059.94638,25523.71184,3712.267704,94.94587774,1708.164032,26.99424779,125.0321468,901.3302236,45886.32036,17505.57721,23327.45702,2681.901458,76.94587014,1573.150182,25.99381707,85.03624913,610.2585587
53934808.87,110739.8522,2,55980.83292,5311.239052,42715.18753,3218.877979,61.0611343,3648.362409,13.00197895,110.9584734,902.1443625,51332.24217,4262.718335,40023.46336,2788.251555,59.06112615,3450.910042,13.00197895,89.96094844,644.8748234
123341549,81530.27517,3,52907.94616,1964.860068,11788.04112,34057.37752,69.92190321,3962.818795,7.998122202,80.3395551,976.5890675,42598.21076,1537.960801,10741.57763,25953.787,56.92186328,3573.361518,7.998122202,52.33923418,674.2645908
126006901.1,119468.4038,4,54276.79291,2005.490014,12382.11712,34326.91098,81.13407696,4074.603108,14.01332538,127.8561395,1264.668137,44807.85795,1663.991056,11510.6408,26793.62225,72.13096557,3770.263089,13.01332538,78.67389647,905.5225723
115196005.5,102271.6659,5,51439.4247,1914.350838,11932.07254,32679.00769,93.12590508,3366.600348,5,131.8648815,1317.402499,42160.40253,1512.539922,10864.81151,25701.90022,77.12872889,2997.783974,5,100.9880099,900.2501683
120539114.4,69925.20239,6,52357.66825,535.9770659,226.1953442,50919.2496,113.0018569,27.00203741,7.999779251,39.00032015,489.242247,38839.93427,350.9949786,187.1007619,37809.69287,82.00131723,25.00063597,6,28.000099,351.1436019
124077234.8,112151.6469,7,51517.55208,2568.585669,777.7263219,47221.6927,113.8381609,88.86284375,2,83.95907475,660.8873068,38653.16955,1792.592703,720.7330269,35458.72672,81.83742461,83.97249482,2,58.00194567,455.3052359
162845783.2,89830.3932,8,51684.68344,694.9155207,291.877678,49878.89308,99.0040456,73.00109562,8,59.00066412,579.9913543,39636.89646,453.9127439,258.8765478,38328.10653,81.00469496,63.00109562,6,41.00101693,404.99383
257088769.5,111742.6419,9,51839.70238,2194.995673,773.0161983,48190.67219,80.99793828,33.00037732,8,46.00001274,513.0199978,37662.21485,1495.994003,709.0164125,35000.19319,59.9979913,32.00037732,8,32.00001274,325.0128619
548958842.6,144026.5956,10,51556.9074,32590.89178,9159.058251,9192.868863,91.00174441,138.9890058,22,29.05051534,333.047245,35971.39375,21632.94503,8139.060567,5781.346762,68.00172082,116.9881691,12,22.00256427,199.0489352
142093459.9,82824.46328,11,51482.93972,11878.53833,19187.36275,2331.795779,62.85576168,17265.44954,13.95293888,56.90609284,686.0785326,41318.79535,8207.787714,16593.5773,1948.064161,54.85576168,13979.66432,13.95293888,43.91036865,476.9827874
116096507.8,93073.34084,12,52265.80995,42583.57361,4529.817675,1087.581523,64.06807611,3732.899673,3.000323447,52.99718036,211.8718903,35481.97757,27567.94408,4039.693461,760.7268857,50.02755486,2891.146119,3.000323447,30.99912595,138.4400161
117333021.7,91758.16707,13,53684.07659,34239.72481,17772.07184,932.8448773,43.99842169,388.9900171,4.999905221,52.99719014,248.449527,38423.07679,21985.30434,15243.41555,632.9233763,38.99899853,324.9853842,4.999905221,37.99841171,154.4508263
