shape_area,shape_leng,ward,TOTPOP,HISP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHVAP,X2MOREVAP
143011018.9,90165.79741,14,54570.31744,43390.65478,9419.307794,786.918738,34.00428514,764.4434244,6,34.00101383,134.9874054,36899.84525,27497.75875,8128.873313,553.9299457,21.00428514,601.2912998,5,15.99941262,75.98824718
65588297.92,82183.69482,15,51499.65211,36873.02942,2442.04059,11404.53236,45.99955493,483.050728,4,52.00177288,194.9976783,33603.15766,22976.43152,2129.032541,7928.65312,32.99949329,384.0390088,4,31.00007513,117.0019034
103143638.5,97901.32383,16,51954.23251,15171.06199,728.0377469,35473.14204,78.00067433,83.00740026,4,59.00062977,357.982034,35202.23614,9680.700377,669.0382882,24461.50035,54.00084461,67.00549893,3,40.00062979,226.9901504
113383616.5,100910.8718,17,51845.1949,8188.308658,1134.282179,41910.83163,75.9993123,104.9929257,1.000220749,59.9989762,369.7809939,36644.75987,5097.520089,1031.356524,30080.03299,55.99802746,94.99539277,1,46.9989762,236.857875
183256966.8,65699.14332,18,54545.81715,16809.34655,7649.083453,29115.34549,79.00097029,356.0384587,1,36.00029167,500.0019279,39398.56786,10337.21747,6786.082753,21570.22734,60.00097029,305.0384752,1,27.00029167,312.0005594
214115105.8,102339.8788,19,57622.64851,3750.9988,38602.32905,13991.02203,63.99936801,420.9996181,11.00010909,55.99965099,726.2998911,43632.68165,2322.26351,29793.32988,10713.78702,43.99936801,310.9997456,7.000109095,27,414.3020119
137290357,90105.19562,20,52416.02952,7477.677481,2023.755755,41439.59368,92.9935072,694.0410139,0,50.99878022,636.9693067,35891.78889,4669.477791,1827.358712,28275.87784,62.99540936,608.0423344,0,35.99957495,412.0372346
142463998,53846.77829,21,51594.10166,467.0160755,149.6536326,50417.72725,64.00084474,17.00077886,2,22.99934434,453.7037358,38867.88158,281.9595819,124.6539532,38069.56455,53.00091341,15.00001804,0,17.99993681,305.7026253
106633676.3,63985.11833,22,54231.18712,47205.57109,2280.255986,4352.107687,39.4041221,192.993649,2,73.99918798,84.85539764,36782.63968,31230.28608,1986.737747,3266.211978,28.4041221,162.9950269,2,44.00005862,62.00467295
142982293.9,125226.4724,23,54400.51795,36183.43496,16116.77764,1368.790843,58.99987736,416.9595268,3.000094779,40.00144638,212.5535665,38598.17463,23110.35698,13950.40433,995.8836659,44.99938771,337.9699206,3.000094779,27.00182602,128.5584185
104690374.8,75191.58037,24,55126.75535,5361.083773,2201.515897,47020.43857,73.52601503,120.8971827,2.999676553,29.00153562,317.2927037,40453.68077,3903.25338,2115.391632,34060.44994,48.56677591,105.9247669,1.999676553,17.00041714,201.0941834
124734729.6,105358.0921,25,54967.79716,30679.08005,11028.2992,4801.64741,63.12144711,7743.255282,8.037468879,61.0257527,583.3305509,42363.62299,21249.31292,10358.32419,3603.939136,56.12144711,6616.757733,7.037468879,48.08519044,424.0449063
70391187.56,69089.88225,26,53143.971,35182.00216,10123.45067,6634.864196,55.00538548,566.1937769,25.9994415,66.00214854,490.4532152,38731.26127,24204.97869,9104.607382,4463.500144,48.00299275,530.1948892,15.99987221,46.00174453,317.9755554
163221187.3,130222.9119,27,53007.69385,5375.623385,13385.43378,31445.90648,84.5018816,1809.475971,19.00146597,111.0020179,776.7488728,40944.08839,3822.223345,12409.06188,22340.17017,71.50175535,1643.295495,19.00084783,93.00282491,545.8320758
142879662.2,119977.2088,28,55209.5169,3719.479192,6430.083535,41567.38612,77.99734327,2679.742731,8.998219416,54.99907679,670.8306817,40805.90544,2705.333867,5916.843741,29178.34981,67.99723099,2446.523962,6.998837558,37.99906416,445.8589315
128819108.6,107529.2436,29,61284.60243,8417.980673,11083.31399,40137.24179,98.00077042,801.0596711,9.999976371,56.00050978,681.0050618,46012.21462,5642.651516,9466.29035,29706.21824,68.00132099,685.052008,9.999976371,36.00018975,398.0010173
73730115.36,81026.98882,30,55559.51872,36414.51401,15566.08958,1168.965147,83.00468095,1710.955782,7.000779628,104.9932469,503.9954909,40775.61174,24221.60848,13813.06454,870.9771442,58.00398687,1416.964704,5.000610096,66.99601973,322.9962472
69739758.43,50635.78315,31,53846.93764,40867.4854,10195.33757,1274.012478,59.99995948,989.0379209,15.99905452,134.0040072,311.0612575,38883.66177,27620.31321,9132.280063,949.010963,44.99972612,836.0321677,8.999353444,88.00429896,204.0219866
85458138.85,79455.81126,32,55011.33904,9859.555662,40027.44409,1461.693159,69.98310119,2509.188416,14.99990837,101.0052486,967.4694575,46044.99977,7522.835234,34360.54775,1229.458695,62.98310119,2185.226074,14.99990837,76.00044216,592.948571
70214893.35,47062.42008,33,55946.42428,29588.22036,18082.26793,1979.957134,111.1296003,4968.319743,16.01797689,160.0501834,1040.461356,42804.83382,20426.87437,15773.76958,1498.837832,94.12885907,4238.899119,11.01799798,105.041995,656.2640667
175928766.1,78608.65398,34,52529.70874,880.9863896,295.0029206,50726.73283,79.00057813,38.99997024,13.99989091,25.00126394,469.9848972,38262.36502,548.7769496,266.0016502,37019.59542,61.00063567,33.99984279,4.999890905,20.00032246,307.9903099
57297718.52,67016.63794,35,55298.77298,38323.70121,10860.45791,2361.097929,103.8877359,2790.801291,14.00063954,123.9908299,720.8354299,40385.49486,26025.38476,9677.273523,1653.099501,69.00861487,2399.881921,9.000510145,81.99947965,469.8465437
88624184.19,91959.98364,36,54652.53305,36404.08881,14384.51616,1871.974884,54.00178108,1460.996269,7.999566927,90.00137205,378.9542079,39121.05652,23929.63126,12317.46536,1351.980065,40.00120824,1198.991083,4.999566927,51.00026151,226.9877163
96123627.35,54306.0743,37,51537.98155,9356.345371,751.9947951,40789.65882,81.99549971,182.9955503,3,50.99953965,320.9919694,36633.93396,6147.215192,655.9957258,29382.73057,64.99789244,158.9963039,3,32.99967999,187.9986011
174307429.5,89794.4595,38,59952.09628,14106.25477,42042.29137,525.0072944,55.00013638,2472.554043,11,76.99541273,662.9932506,47940.63825,9583.50639,35465.51587,414.0037688,45.00022624,2024.629139,9,46.9962242,351.9866319
175096482.3,73079.99343,39,56275.61776,13124.50958,30399.27618,1494.088377,134.0134037,9330.076568,19.99867068,155.0046044,1618.650372,43804.18601,9047.953537,24992.47569,1136.080114,98.89458875,7456.016491,17.9993248,104.0026532,950.7636074
95929056.68,48374.91362,40,55315.10731,13056.14132,28128.98145,3816.748986,104.0184531,8755.736368,13.00008261,166.9879566,1273.492693,44610.2262,9213.789161,24515.51056,2902.683024,77.00796569,6955.787354,11.00008261,104.9939162,829.4541388
484238239,252516.0115,41,66543.60862,6391.093274,54986.52219,680.0055705,61.00491438,3476.977983,8,79.99987059,860.0048201,53029.48855,4332.03415,44831.46373,544.0044941,48.00135371,2782.982401,8,47.99987059,435.0025567
71494714.69,62491.45989,42,55806.22531,3229.220981,38791.55592,2899.0665,67.48854222,9442.802287,21.00288302,142.0035052,1213.084685,52787.98844,2927.779637,37126.7278,2686.414558,61.48854222,8891.321136,21.00288302,111.0007882,962.253096
65206365.42,48544.53491,43,56173.88968,2704.283033,47647.39319,1764.903708,41.98570285,2897.495207,16.00032012,100.9937601,1000.834765,50609.87575,2377.267463,43148.38394,1626.866422,37.98556522,2639.498978,15.00032012,75.99437103,688.8786895
49422863,46466.27217,44,56176.71195,3584.408988,46339.37932,1639.382648,54.02365981,3432.382051,25.00103466,76.01156895,1026.122685,51803.50711,3171.369581,43085.23123,1464.386467,48.02379777,3176.363492,24.00103466,62.00887305,772.1226329
125334245.5,76714.84139,45,56056.48102,13750.88666,36074.37255,861.2176126,147.9946374,4183.017736,14,77.99864265,946.9931727,44325.27278,9403.25817,30210.70496,672.2162248,117.9977351,3334.099284,10,57.99877541,518.9976329
53665279.33,47937.95106,46,53667.3806,6170.858177,30734.95726,10643.7634,144.9940535,4757.915291,19.00037125,104.9992765,1090.89277,47813.54212,5028.866041,29186.10249,8294.765583,134.9935964,4223.905873,19.00037125,87.99799717,837.9101644
87363636.38,53371.30551,47,55076.2574,7703.649859,41171.84699,1483.732903,93.98219135,3342.426695,19.97981142,117.9673965,1142.671562,46501.63155,5882.602323,35510.16702,1269.697226,85.98219114,2976.475193,16.97981142,79.96007746,679.7677102
44838916.16,34831.99368,48,55891.37858,7757.186125,30102.65929,9041.365717,122.9967527,7326.406854,14.00032045,145.0061273,1381.757401,49529.83417,5986.555629,28028.0222,7873.547961,109.0005329,6371.895343,13.00032045,98.00669744,1049.805485
49733459.14,38122.69283,49,56454.2403,13532.53751,21975.29224,15076.51404,147.0006488,3827.602792,38.00004418,216.9980246,1640.295006,45649.31927,9128.641715,20305.92303,11613.40425,125.9999299,3182.103586,37.00004418,157.9991256,1098.247591
80692979.81,46116.37888,50,56412.02468,10699.63466,25382.48402,5869.574062,158.9837049,12609.41577,1.001350402,171.9937799,1518.937338,41660.53325,7041.747935,19812.56213,4096.700507,90.99158793,9535.577538,1.000675201,126.9960351,954.956844
