WARD,PRECINCT,JOINID,USR18D,USR18R
40,004,C40004,241,44
40,009,C40009,351,54
40,010,C40010,310,38
40,018,C40018,341,37
40,022,C40022,546,40
40,025,C40025,110,4
40,026,C40026,526,39
40,027,C40027,623,83
40,028,C40028,515,54
40,031,C40031,473,34
40,033,C40033,495,34
40,035,C40035,285,55
40,036,C40036,438,55
40,037,C40037,428,41
40,039,C40039,164,23
41,001,C41001,227,196
41,002,C41002,217,219
41,004,C41004,299,179
41,005,C41005,346,200
41,007,C41007,308,215
41,008,C41008,269,198
41,010,C41010,308,189
41,011,C41011,197,179
41,013,C41013,314,232
41,015,C41015,356,230
41,017,C41017,49,36
41,018,C41018,272,168
41,020,C41020,208,145
41,023,C41023,108,144
41,025,C41025,231,124
41,028,C41028,334,134
41,029,C41029,214,110
41,031,C41031,323,180
41,033,C41033,54,28
41,034,C41034,251,167
41,036,C41036,295,176
41,037,C41037,344,186
41,040,C41040,251,249
41,041,C41041,275,220
41,042,C41042,257,189
41,043,C41043,305,185
41,044,C41044,230,253
41,045,C41045,163,95
44,003,C44003,334,64
44,004,C44004,462,104
44,007,C44007,356,102
44,024,C44024,397,75
44,035,C44035,651,113
46,001,C46001,377,41
46,002,C46002,510,32
46,004,C46004,504,37
46,005,C46005,12,4
46,006,C46006,462,33
46,007,C46007,540,97
46,008,C46008,343,42
46,009,C46009,604,46
46,011,C46011,493,79
46,012,C46012,494,38
46,013,C46013,511,55
46,014,C46014,480,45
46,015,C46015,505,77
46,016,C46016,359,28
46,017,C46017,577,85
46,018,C46018,555,90
46,020,C46020,433,34
46,021,C46021,338,53
46,022,C46022,402,40
46,023,C46023,433,25
46,024,C46024,441,65
46,025,C46025,521,25
46,026,C46026,620,42
46,027,C46027,686,74
46,029,C46029,432,61
46,032,C46032,507,65
46,034,C46034,619,56
46,035,C46035,597,52
46,037,C46037,470,49
46,038,C46038,73,8
46,040,C46040,449,39
47,015,C47015,696,39
47,019,C47019,723,35
47,023,C47023,619,39
47,030,C47030,353,26
48,001,C48001,495,27
48,002,C48002,239,37
48,003,C48003,561,57
48,004,C48004,516,34
48,005,C48005,303,40
48,006,C48006,615,60
48,007,C48007,540,30
48,008,C48008,267,47
48,009,C48009,290,69
48,010,C48010,767,49
48,011,C48011,477,41
48,012,C48012,637,52
48,013,C48013,612,91
48,014,C48014,246,43
48,015,C48015,351,40
48,016,C48016,540,48
48,017,C48017,462,46
48,018,C48018,350,37
48,019,C48019,351,28
48,020,C48020,609,45
48,021,C48021,640,73
48,022,C48022,422,72
48,023,C48023,525,97
48,024,C48024,509,129
48,025,C48025,478,41
48,026,C48026,245,27
48,027,C48027,745,53
48,028,C48028,497,137
48,029,C48029,269,29
48,030,C48030,464,37
48,031,C48031,638,74
48,032,C48032,537,50
48,033,C48033,266,46
48,034,C48034,460,36
48,035,C48035,320,67
48,036,C48036,283,49
48,037,C48037,556,33
48,038,C48038,518,62
48,039,C48039,394,62
48,040,C48040,465,38
48,041,C48041,664,49
48,042,C48042,628,37
48,043,C48043,563,50
48,044,C48044,685,29
48,045,C48045,400,32
48,046,C48046,338,45
49,001,C49001,335,16
49,002,C49002,361,24
49,003,C49003,582,29
49,004,C49004,647,47
49,005,C49005,528,28
49,006,C49006,476,41
49,007,C49007,549,69
49,008,C49008,424,30
49,009,C49009,565,42
49,010,C49010,503,44
49,011,C49011,603,44
49,012,C49012,719,45
49,013,C49013,592,50
49,014,C49014,438,44
49,015,C49015,368,29
49,016,C49016,496,49
49,017,C49017,341,53
49,018,C49018,717,34
49,019,C49019,482,31
49,020,C49020,765,47
49,021,C49021,295,30
49,022,C49022,495,54
49,023,C49023,701,45
49,024,C49024,427,29
49,025,C49025,691,53
49,026,C49026,585,66
49,027,C49027,602,44
49,028,C49028,719,37
49,029,C49029,638,58
49,030,C49030,592,61
49,031,C49031,402,39
49,032,C49032,515,26
49,033,C49033,431,25
50,001,C50001,243,162
50,002,C50002,170,100
50,003,C50003,239,151
50,004,C50004,360,101
50,005,C50005,156,146
50,006,C50006,377,96
50,007,C50007,419,57
50,008,C50008,389,41
50,009,C50009,283,72
50,010,C50010,264,114
50,011,C50011,116,170
50,012,C50012,131,48
50,013,C50013,416,39
50,014,C50014,100,52
50,015,C50015,417,66
50,016,C50016,86,53
50,017,C50017,298,112
50,018,C50018,62,50
50,019,C50019,214,42
50,020,C50020,331,70
50,021,C50021,315,64
50,022,C50022,233,120
50,023,C50023,196,79
50,025,C50025,221,156
50,026,C50026,306,77
50,027,C50027,81,45
50,028,C50028,373,72
50,029,C50029,314,41
50,030,C50030,245,31
50,031,C50031,471,45
50,032,C50032,412,35
50,033,C50033,169,189
50,034,C50034,433,157
50,035,C50035,483,52
50,036,C50036,321,69
50,037,C50037,392,64
50,038,C50038,137,50
50,039,C50039,166,91
50,040,C50040,180,255
