JOINID,Hairston,Brooks,Hare,Clark,Brown,Miles,TOTVOTES,PER_HRSTN,PER_BRKS,PER_HR,PER_CLRK,PER_BRWN,PER_MLS,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT
C05001,95,30,6,11,36,42,220,0.431818182,0.136363636,0.027272727,0.05,0.163636364,0.190909091,0.014747192,0.951544946,0.011235954,0.001404494,0.021067415
C05002,110,52,3,6,28,20,219,0.502283105,0.237442922,0.01369863,0.02739726,0.127853881,0.091324201,0.00754717,0.972641508,0.003773586,0,0.016037736
C05003,138,6,28,11,4,60,247,0.558704453,0.024291498,0.113360324,0.044534413,0.016194332,0.24291498,0.592829698,0.177976957,0.063380282,0.117157496,0.048655567
C05004,158,13,39,13,15,42,280,0.564285714,0.046428571,0.139285714,0.046428571,0.053571429,0.15,0.170579024,0.699530527,0.041471046,0.055555554,0.032863848
C05005,141,56,14,17,21,27,276,0.510869565,0.202898551,0.050724638,0.061594203,0.076086957,0.097826087,0.025125627,0.94328787,0.013639627,0.00143575,0.016511127
C05006,101,45,6,21,38,35,246,0.410569106,0.182926829,0.024390244,0.085365854,0.154471545,0.142276423,0.015957446,0.953900709,0.013297872,0.00177305,0.015070923
C05007,152,7,32,9,9,39,248,0.612903226,0.028225806,0.129032258,0.036290323,0.036290323,0.157258065,0.309791342,0.349384689,0.06046014,0.242375601,0.037988228
C05008,138,8,38,4,8,91,287,0.480836237,0.027874564,0.132404181,0.013937282,0.027874564,0.317073171,0.651898636,0.069620341,0.037070532,0.199819173,0.041591319
C05009,160,7,37,13,40,50,307,0.521172638,0.022801303,0.120521173,0.042345277,0.13029316,0.16286645,0.332575779,0.457575743,0.059090905,0.114393935,0.036363637
C05010,105,31,8,11,34,29,218,0.481651376,0.142201835,0.036697248,0.050458716,0.155963303,0.133027523,0.005965698,0.938851606,0.015659954,0.003728561,0.035794181
C05011,197,6,31,7,10,74,325,0.606153846,0.018461538,0.095384615,0.021538462,0.030769231,0.227692308,0.447298489,0.342781217,0.084145262,0.086802489,0.038972542
C05012,98,41,5,12,16,21,193,0.507772021,0.212435233,0.025906736,0.062176166,0.082901554,0.10880829,0.014856081,0.946146707,0.025998139,0,0.012999073
C05013,130,35,20,5,27,30,247,0.526315789,0.141700405,0.08097166,0.020242915,0.109311741,0.12145749,0.018909094,0.914181824,0.021090907,0.015272722,0.030545454
C05014,142,62,8,21,34,46,313,0.453674121,0.198083067,0.025559105,0.067092652,0.108626198,0.146964856,0.023809528,0.94235588,0.018796996,0.001253133,0.013784463
C05015,156,16,24,4,13,44,257,0.607003891,0.062256809,0.093385214,0.015564202,0.050583658,0.171206226,0.262975809,0.608131446,0.031141875,0.064878896,0.032871974
C05016,154,32,21,8,11,31,257,0.59922179,0.124513619,0.081712062,0.031128405,0.042801556,0.120622568,0.024573378,0.940614336,0.014334471,0.001365188,0.019112628
C05017,119,17,5,13,23,34,211,0.563981043,0.08056872,0.023696682,0.061611374,0.109004739,0.161137441,0.002411091,0.974080771,0.012055457,1.86E-11,0.011452682
C05018,140,7,41,8,11,45,252,0.555555556,0.027777778,0.162698413,0.031746032,0.043650794,0.178571429,0.26232742,0.520710063,0.115384607,0.061143985,0.040433925
C05019,169,1,23,6,9,86,294,0.574829932,0.003401361,0.078231293,0.020408163,0.030612245,0.292517007,0.468426085,0.22525913,0.05937795,0.190386405,0.05655043
C05020,208,9,42,9,16,45,329,0.632218845,0.027355623,0.127659574,0.027355623,0.048632219,0.136778116,0.251247944,0.587354339,0.054908491,0.070715516,0.03577371
C05021,137,6,29,9,13,60,254,0.539370079,0.023622047,0.114173228,0.035433071,0.051181102,0.236220472,0.488936456,0.292648126,0.05353319,0.114204139,0.050678089
C05022,189,6,45,11,12,91,354,0.533898305,0.016949153,0.127118644,0.031073446,0.033898305,0.257062147,0.369930652,0.451038664,0.036597435,0.109792292,0.032640957
C05023,232,7,60,7,14,118,438,0.529680365,0.015981735,0.136986301,0.015981735,0.03196347,0.269406393,0.52996573,0.319349323,0.049657542,0.063356173,0.037671232
C05024,139,10,33,6,22,50,260,0.534615385,0.038461538,0.126923077,0.023076923,0.084615385,0.192307692,0.477083315,0.269444468,0.074999999,0.131944442,0.046527776
C05025,146,31,6,24,22,52,281,0.519572954,0.110320285,0.021352313,0.085409253,0.078291815,0.185053381,0.033927144,0.901611429,0.026293468,0.002544553,0.035623405
C05026,106,20,6,35,21,61,249,0.425702811,0.080321285,0.024096386,0.140562249,0.084337349,0.24497992,0.012125077,0.950223359,0.019783025,0.004467135,0.013401403
C05027,100,1,27,6,6,76,216,0.462962963,0.00462963,0.125,0.027777778,0.027777778,0.351851852,0.652595825,0.050460944,0.069868995,0.1770985,0.049975736
C05028,189,26,4,37,38,37,331,0.570996979,0.078549849,0.012084592,0.111782477,0.114803625,0.111782477,0.044852193,0.907237511,0.027522935,3.50E-11,0.020387361
C05029,133,38,11,56,34,61,333,0.399399399,0.114114114,0.033033033,0.168168168,0.102102102,0.183183183,0.022488763,0.946776586,0.011244388,4.18E-09,0.019490258
C05030,95,15,15,9,18,27,179,0.530726257,0.083798883,0.083798883,0.05027933,0.100558659,0.150837989,0.004225356,0.940845068,0.026760561,0.002112676,0.026056339
C05031,109,25,3,18,31,33,219,0.497716895,0.114155251,0.01369863,0.082191781,0.141552511,0.150684932,0.003303056,0.982658954,0.004954585,0.003303056,0.005780349
C05032,173,29,12,34,21,78,347,0.498559078,0.083573487,0.034582133,0.097982709,0.060518732,0.224783862,0.054101217,0.870855159,0.031413611,0.020069805,0.023560208
C05033,177,46,18,12,13,51,317,0.558359621,0.14511041,0.056782334,0.03785489,0.041009464,0.160883281,0.009860311,0.967132294,0.007395234,0,0.015612161
C05034,154,4,33,5,10,107,313,0.49201278,0.012779553,0.10543131,0.015974441,0.031948882,0.341853035,0.726415092,0.036284477,0.062409289,0.135703911,0.03918723
C05035,158,2,26,9,9,100,304,0.519736842,0.006578947,0.085526316,0.029605263,0.029605263,0.328947368,0.495593209,0.247457657,0.088813554,0.118644058,0.049491522
C05036,90,60,0,18,21,18,207,0.434782609,0.289855072,0,0.086956522,0.101449275,0.086956522,0.005524862,0.974217314,0.005524862,0,0.014732962
C05037,203,9,19,13,9,98,351,0.578347578,0.025641026,0.054131054,0.037037037,0.025641026,0.279202279,0.511259387,0.328607168,0.04170142,0.096747287,0.021684737
C05038,117,37,7,37,36,12,246,0.475609756,0.150406504,0.028455285,0.150406504,0.146341463,0.048780488,0.002700272,0.969396942,0.00810081,0.001800179,0.018001797
C05039,147,12,17,5,9,72,262,0.561068702,0.045801527,0.064885496,0.019083969,0.034351145,0.27480916,0.457504531,0.220614815,0.040687159,0.24141049,0.039783004
C05040,124,25,6,30,25,40,250,0.496,0.1,0.024,0.12,0.1,0.16,0.01905626,0.954627948,0.004537205,1.21E-10,0.021778586
C05041,122,1,13,9,5,48,198,0.616161616,0.005050505,0.065656566,0.045454545,0.025252525,0.242424242,0.413483147,0.408988755,0.042696633,0.101123596,0.033707869
