WARD,TOTVOTES,Joyce,P_Joyce,Vallas,P_Vallas,Wilson,P_Wilson,Preckw,P_Preckw,Daley,P_Daly,McCarth,P_McCarth,Chico,P_Chico,Mendoza,P_Mendoza,Enyia,P_Enyia,Ford,P_Ford,Sal_Grif,P_Sal_Grif,Lightft,P_Lightft,Fioretti,P_Fioretti,Kozlar,P_Kozlar,TOTPOP,HISP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT
13,11849,2534,0.21385771,743,0.062705714,275,0.02320871,475,0.040087771,1976,0.166765128,714,0.06025825,1727,0.145750696,2322,0.195965904,320,0.027006498,20,0.001687906,16,0.001350325,574,0.048442907,105,0.008861507,48,0.004050975,53684.07659,34239.72481,17772.07184,932.8448773,43.99842169,388.9900171,4.999905221,52.99719014,248.449527,0.331049223,0.017376566,0.637800387,0.007245911,0.006527914
14,7042,988,0.140301051,330,0.046861687,131,0.01860267,344,0.048849759,1114,0.158193695,373,0.052967907,1206,0.171258165,1746,0.247940926,338,0.047997728,7,0.000994036,10,0.001420051,363,0.051547856,58,0.008236297,34,0.004828174,54570.31744,43390.65478,9419.307794,786.918738,34.00428514,764.4434244,6,34.00101383,134.9874054,0.172608631,0.01442027,0.7951329,0.014008411,0.003829787
15,4939,270,0.054666937,140,0.028345819,746,0.151042721,551,0.111561045,568,0.115003037,102,0.020651954,704,0.142538976,1094,0.221502328,349,0.070662077,32,0.006479044,13,0.002632112,329,0.066612675,22,0.004454343,19,0.003846933,51499.65211,36873.02942,2442.04059,11404.53236,45.99955493,483.050728,4,52.00177288,194.9976783,0.047418584,0.221448726,0.71598599,0.009379689,0.00576701
16,5265,117,0.022222222,112,0.021272555,1684,0.319848053,1025,0.194681861,527,0.100094967,52,0.009876543,239,0.045394112,446,0.084710351,396,0.075213675,89,0.016904084,9,0.001709402,530,0.100664767,23,0.004368471,16,0.003038936,51954.23251,15171.06199,728.0377469,35473.14204,78.00067433,83.00740026,4,59.00062977,357.982034,0.014013059,0.68277675,0.292008201,0.001597702,0.009604287
17,7920,166,0.020959596,193,0.024368687,2612,0.32979798,1728,0.218181818,723,0.091287879,61,0.00770202,280,0.035353535,363,0.045833333,666,0.084090909,123,0.015530303,22,0.002777778,940,0.118686869,34,0.004292929,9,0.001136364,51845.1949,8188.308658,1134.282179,41910.83163,75.9993123,104.9929257,1.000220749,59.9989762,369.7809939,0.021878251,0.808384108,0.157937658,0.002025124,0.00977486
18,11624,872,0.075017206,560,0.048176187,2365,0.203458362,2121,0.182467309,1258,0.108224363,250,0.021507226,700,0.060220234,843,0.072522368,902,0.077598073,165,0.014194769,28,0.002408809,1487,0.127924983,53,0.004559532,20,0.001720578,54545.81715,16809.34655,7649.083453,29115.34549,79.00097029,356.0384587,1,36.00029167,500.0019279,0.140232264,0.533777786,0.308169305,0.006527328,0.011293317
19,20592,9098,0.441822067,1947,0.094551282,1036,0.0503108,1629,0.079108392,2087,0.101350039,386,0.018745144,1004,0.048756799,754,0.036616162,721,0.035013598,77,0.003739316,28,0.001359751,1702,0.082653458,74,0.003593629,49,0.002379565,57622.64851,3750.9988,38602.32905,13991.02203,63.99936801,420.9996181,11.00010909,55.99965099,726.2998911,0.669915911,0.242804217,0.065095911,0.007306148,0.014877814
20,7232,135,0.018667035,148,0.020464602,2109,0.291620575,1673,0.231332965,525,0.072594027,49,0.006775442,203,0.02806969,333,0.046045354,796,0.110066372,125,0.017284292,18,0.002488938,1072,0.148230088,35,0.004839602,11,0.001521018,52416.02952,7477.677481,2023.755755,41439.59368,92.9935072,694.0410139,0,50.99878022,636.9693067,0.038609482,0.790590093,0.142660128,0.013241007,0.014899289
21,12074,285,0.023604439,271,0.022444923,3692,0.305781017,2938,0.243332781,1000,0.082822594,73,0.006046049,349,0.028905085,377,0.031224118,1126,0.093258241,204,0.016895809,42,0.003478549,1646,0.13632599,60,0.004969356,11,0.000911049,51594.10166,467.0160755,149.6536326,50417.72725,64.00084474,17.00077886,2,22.99934434,453.7037358,0.002900596,0.97719944,0.009051734,0.00032951,0.01051872
22,4847,373,0.076954817,111,0.022900763,333,0.06870229,569,0.117392201,618,0.127501547,137,0.028264906,669,0.13802352,1270,0.262017743,354,0.073034867,42,0.008665154,7,0.001444192,322,0.066432845,24,0.004951516,18,0.003713637,54231.18712,47205.57109,2280.255986,4352.107687,39.4041221,192.993649,2,73.99918798,84.85539764,0.04204695,0.080251013,0.870450632,0.003558721,0.003692685
23,8799,1992,0.226389362,586,0.066598477,216,0.024548244,391,0.044436868,1443,0.163995909,533,0.060575065,1252,0.142288896,1514,0.172065007,261,0.029662462,17,0.001932038,10,0.001136493,465,0.052846914,62,0.007046255,57,0.006478009,54400.51795,36183.43496,16116.77764,1368.790843,58.99987736,416.9595268,3.000094779,40.00144638,212.5535665,0.296261474,0.025161357,0.665130339,0.007664624,0.005782206
24,6090,102,0.016748768,94,0.01543514,2161,0.354844007,1299,0.213300493,499,0.081937603,50,0.008210181,143,0.023481117,248,0.040722496,519,0.085221675,208,0.034154351,12,0.001970443,707,0.116091954,42,0.006896552,6,0.000985222,55126.75535,5361.083773,2201.515897,47020.43857,73.52601503,120.8971827,2.999676553,29.00153562,317.2927037,0.039935525,0.852951317,0.097250124,0.002193076,0.007669959
25,9540,518,0.054297694,391,0.040985325,403,0.042243187,1331,0.13951782,1298,0.1360587,212,0.022222222,1013,0.106184486,1394,0.146121593,1188,0.124528302,53,0.005555556,32,0.003354298,1553,0.16278826,91,0.009538784,63,0.006603774,54967.79716,30679.08005,11028.2992,4801.64741,63.12144711,7743.255282,8.037468879,61.0257527,583.3305509,0.200632002,0.087353826,0.558128243,0.140868939,0.013016989
26,8317,289,0.034748106,306,0.036792113,481,0.057833353,1471,0.176866659,1060,0.127449802,207,0.024888782,689,0.082842371,1174,0.141156667,1016,0.122159432,63,0.007574847,34,0.004088013,1453,0.174702417,51,0.006132019,23,0.00276542,53143.971,35182.00216,10123.45067,6634.864196,55.00538548,566.1937769,25.9994415,66.00214854,490.4532152,0.190491047,0.124846978,0.662013047,0.010653961,0.011994967
27,9643,259,0.026858861,326,0.033806907,1830,0.189774966,1873,0.194234159,1403,0.145494141,151,0.015659027,378,0.039199419,567,0.058799129,839,0.087006118,175,0.018147879,35,0.003629576,1578,0.16364202,193,0.020014518,36,0.003733278,53007.69385,5375.623385,13385.43378,31445.90648,84.5018816,1809.475971,19.00146597,111.0020179,776.7488728,0.252518697,0.593232872,0.101412135,0.034136101,0.018700196
28,8103,201,0.024805628,246,0.030359126,2385,0.294335431,1415,0.174626681,802,0.098975688,89,0.010983586,290,0.035789214,356,0.043934345,688,0.084906825,293,0.036159447,23,0.002838455,1182,0.145871899,113,0.013945452,20,0.002468222,55209.5169,3719.479192,6430.083535,41567.38612,77.99734327,2679.742731,8.998219416,54.99907679,670.8306817,0.116466941,0.752902551,0.067370254,0.048537696,0.014722558
29,9720,336,0.034567901,365,0.03755144,2298,0.236419753,1716,0.17654321,1136,0.116872428,183,0.01882716,405,0.041666667,606,0.062345679,706,0.072633745,524,0.053909465,6,0.000617284,1320,0.135802469,94,0.009670782,25,0.002572016,61284.60243,8417.980673,11083.31399,40137.24179,98.00077042,801.0596711,9.999976371,56.00050978,681.0050618,0.180849896,0.654931911,0.13735882,0.013071141,0.013788232
30,6782,366,0.053966382,324,0.047773518,205,0.030227072,793,0.11692716,963,0.141993512,299,0.04408729,692,0.102034798,1402,0.20672368,546,0.080507225,24,0.003538779,9,0.001327042,1035,0.15260985,71,0.010468888,53,0.007814804,55559.51872,36414.51401,15566.08958,1168.965147,83.00468095,1710.955782,7.000779628,104.9932469,503.9954909,0.280169626,0.021039872,0.655414497,0.030795007,0.012580998
