WARD,PRECINCT,JOINID,USR18D,USR18R
01,001,C01001,532,52
02,002,C02002,445,24
03,007,C03007,375,31
04,009,C04009,407,46
05,013,C05013,230,24
06,015,C06015,366,62
07,016,C07016,615,47
08,017,C08017,448,38
09,018,C09018,495,37
10,019,C10019,587,58
11,020,C11020,413,31
12,022,C12022,327,32
13,023,C13023,705,66
14,024,C14024,452,21
15,025,C15025,505,50
16,026,C16026,320,26
17,027,C17027,521,83
18,028,C18028,594,82
19,029,C19029,549,47
20,030,C20030,475,50
21,034,C21034,417,31
22,038,C22038,426,52
23,041,C23041,313,19
24,042,C24042,162,17
25,043,C25043,319,29
26,044,C26044,453,52
11,003,C11003,414,33
11,037,C11037,1,0
11,038,C11038,216,26
12,002,C12002,308,42
12,003,C12003,91,13
12,005,C12005,162,57
12,006,C12006,339,47
12,007,C12007,324,23
12,008,C12008,348,47
12,010,C12010,355,15
12,011,C12011,361,22
12,012,C12012,344,39
12,013,C12013,339,30
12,014,C12014,331,12
12,015,C12015,122,3
12,016,C12016,328,11
12,017,C12017,337,39
12,018,C12018,173,11
12,019,C12019,9,0
12,020,C12020,412,35
12,021,C12021,316,40
12,022,C12022,297,9
14,002,C14002,394,65
14,003,C14003,350,21
14,005,C14005,432,25
14,006,C14006,164,9
14,010,C14010,217,40
14,011,C14011,196,16
14,013,C14013,275,40
14,014,C14014,296,24
14,015,C14015,370,21
14,016,C14016,227,26
14,017,C14017,266,26
14,019,C14019,291,22
14,020,C14020,231,24
14,025,C14025,185,20
14,027,C14027,296,60
14,028,C14028,245,35
14,030,C14030,185,12
14,031,C14031,193,13
15,001,C15001,65,7
15,004,C15004,319,19
15,005,C15005,213,27
15,006,C15006,291,38
15,008,C15008,264,15
15,009,C15009,396,22
15,010,C15010,415,42
15,011,C15011,337,32
15,012,C15012,354,31
15,015,C15015,88,7
16,001,C16001,107,5
22,003,C22003,447,28
22,004,C22004,264,9
22,005,C22005,318,18
22,006,C22006,316,8
22,007,C22007,244,8
22,009,C22009,278,6
22,010,C22010,424,28
22,011,C22011,269,12
22,013,C22013,321,20
22,014,C22014,110,5
22,015,C22015,251,15
22,016,C22016,278,17
22,017,C22017,332,22
22,018,C22018,287,15
22,019,C22019,4,0
22,020,C22020,290,14
22,022,C22022,283,20
22,024,C22024,340,21
22,025,C22025,321,19
23,009,C23009,141,17
23,013,C23013,284,23
23,015,C23015,3,1
23,024,C23024,260,33
23,026,C23026,118,11
23,034,C23034,127,13
23,039,C23039,268,24
24,016,C24016,257,12
25,001,C25001,327,28
25,002,C25002,500,20
25,005,C25005,441,41
25,007,C25007,455,26
25,008,C25008,478,22
25,009,C25009,420,20
25,011,C25011,471,26
25,012,C25012,435,17
25,013,C25013,505,17
25,014,C25014,27,2
25,015,C25015,379,34
25,017,C25017,487,40
25,019,C25019,476,16
25,022,C25022,419,15
25,023,C25023,495,21
25,024,C25024,437,30
25,026,C25026,373,31
25,027,C25027,37,4
25,028,C25028,465,17
25,030,C25030,427,17
25,032,C25032,333,41
26,001,C26001,192,10
26,002,C26002,300,23
26,005,C26005,326,17
26,006,C26006,296,22
26,007,C26007,360,21
26,008,C26008,179,14
26,009,C26009,237,23
26,010,C26010,81,2
26,011,C26011,297,28
26,012,C26012,382,25
26,013,C26013,183,10
26,014,C26014,267,12
26,015,C26015,196,18
26,016,C26016,180,16
26,018,C26018,262,23
26,020,C26020,297,29
26,022,C26022,173,9
26,023,C26023,219,20
26,024,C26024,282,16
26,025,C26025,323,25
26,026,C26026,235,22
26,027,C26027,214,25
26,029,C26029,209,23
26,030,C26030,277,11
26,031,C26031,135,20
26,033,C26033,62,5
26,034,C26034,450,22
26,035,C26035,293,19
26,036,C26036,19,1
26,037,C26037,368,20
26,038,C26038,149,11
26,039,C26039,148,23
26,040,C26040,236,14
26,041,C26041,394,28
26,042,C26042,296,10
26,043,C26043,194,10
26,044,C26044,201,18
26,045,C26045,81,2
26,046,C26046,218,26
26,047,C26047,325,32
26,048,C26048,197,11
28,019,C28019,3,1
29,001,C29001,12,3
29,009,C29009,379,83
29,023,C29023,324,84
29,030,C29030,485,59
29,038,C29038,353,82
29,039,C29039,151,34
29,043,C29043,169,15
30,001,C30001,396,82
30,002,C30002,349,67
