WARD,PRECINCT,JOINID,USR18D,USR18R
30,003,C30003,316,44
30,004,C30004,325,83
30,005,C30005,267,41
30,006,C30006,298,56
30,007,C30007,376,72
30,008,C30008,474,56
30,009,C30009,277,72
30,010,C30010,374,61
30,011,C30011,346,40
30,012,C30012,310,50
30,013,C30013,341,68
30,014,C30014,240,29
30,015,C30015,97,17
30,016,C30016,175,26
30,017,C30017,151,36
30,018,C30018,487,36
30,019,C30019,344,35
30,020,C30020,385,76
30,022,C30022,512,63
30,023,C30023,407,53
30,024,C30024,499,56
30,025,C30025,538,63
30,026,C30026,207,47
30,027,C30027,237,45
30,028,C30028,385,48
30,029,C30029,202,26
30,030,C30030,174,18
30,031,C30031,227,54
30,032,C30032,286,34
31,001,C31001,236,20
31,002,C31002,208,19
31,003,C31003,190,43
31,004,C31004,365,29
31,005,C31005,254,39
31,006,C31006,181,23
31,007,C31007,420,18
31,008,C31008,187,28
31,009,C31009,223,40
31,010,C31010,216,27
31,011,C31011,190,34
31,012,C31012,216,46
31,013,C31013,266,13
31,014,C31014,201,43
31,015,C31015,214,33
31,016,C31016,326,28
31,017,C31017,223,34
31,018,C31018,231,31
31,019,C31019,224,28
31,020,C31020,213,31
31,021,C31021,231,27
31,022,C31022,219,20
31,023,C31023,246,40
31,024,C31024,237,34
31,025,C31025,228,28
31,026,C31026,259,49
31,027,C31027,264,44
31,028,C31028,197,29
31,029,C31029,250,41
31,030,C31030,195,16
31,031,C31031,189,42
31,032,C31032,200,31
31,033,C31033,187,38
31,034,C31034,219,44
31,035,C31035,278,34
31,036,C31036,276,30
31,037,C31037,244,29
31,038,C31038,209,17
31,039,C31039,303,16
31,040,C31040,286,34
31,041,C31041,220,24
32,001,C32001,0,0
32,003,C32003,577,55
32,011,C32011,495,29
32,012,C32012,400,31
32,014,C32014,555,45
32,016,C32016,23,6
32,017,C32017,533,45
32,020,C32020,526,32
32,022,C32022,668,59
32,026,C32026,597,47
32,028,C32028,533,45
32,043,C32043,493,55
33,001,C33001,491,50
33,003,C33003,666,56
33,004,C33004,656,96
33,006,C33006,436,50
33,007,C33007,198,20
33,008,C33008,269,18
33,009,C33009,515,102
33,010,C33010,388,64
33,011,C33011,538,66
33,012,C33012,480,63
33,013,C33013,496,56
33,014,C33014,255,39
33,015,C33015,496,50
33,016,C33016,624,100
33,017,C33017,531,83
33,019,C33019,299,46
33,020,C33020,595,52
33,021,C33021,538,50
33,022,C33022,433,75
33,023,C33023,517,57
33,025,C33025,608,83
33,026,C33026,429,27
33,027,C33027,540,67
33,028,C33028,511,33
35,001,C35001,456,53
35,002,C35002,497,58
35,003,C35003,421,21
35,004,C35004,395,76
35,005,C35005,409,34
35,006,C35006,422,29
35,007,C35007,470,25
35,008,C35008,487,34
35,009,C35009,361,62
35,010,C35010,603,32
35,011,C35011,488,53
35,012,C35012,294,21
35,013,C35013,300,26
35,014,C35014,306,28
35,015,C35015,547,39
35,016,C35016,251,16
35,017,C35017,507,40
35,018,C35018,294,13
35,019,C35019,239,22
35,020,C35020,378,47
35,021,C35021,394,29
35,022,C35022,531,47
35,023,C35023,425,58
35,024,C35024,385,51
35,025,C35025,520,38
35,026,C35026,363,54
35,027,C35027,352,51
35,028,C35028,423,41
35,029,C35029,357,54
35,030,C35030,396,59
35,031,C35031,430,70
36,001,C36001,312,48
36,002,C36002,303,41
36,003,C36003,299,39
36,004,C36004,326,31
36,006,C36006,288,34
36,008,C36008,259,18
36,009,C36009,309,32
36,010,C36010,388,83
36,011,C36011,243,27
36,012,C36012,226,16
36,013,C36013,249,17
36,016,C36016,19,14
36,019,C36019,371,60
36,020,C36020,180,42
36,021,C36021,187,25
36,022,C36022,275,23
36,023,C36023,299,34
36,024,C36024,44,5
36,025,C36025,344,32
36,027,C36027,314,75
36,029,C36029,147,53
38,001,C38001,303,93
38,035,C38035,189,59
38,041,C38041,321,72
39,006,C39006,1,0
39,012,C39012,157,13
39,025,C39025,8,1
39,028,C39028,249,44
39,031,C39031,329,52
45,001,C45001,343,50
45,002,C45002,415,48
45,008,C45008,367,77
45,009,C45009,354,99
45,010,C45010,368,112
