JOINID,Pope_G,Garza_G,Martinez_G,Corona_G,Webb_G,Bautista_G,Huizar_G,TOTV_G,P_RO,G_RO,TOTV_RO,GPER_P,GPER_G,GPER_M,GPER_C,GPER_W,GPER_B,GPER_H,ROPER_P,ROPER_G,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT
C10025,43,19,6,2,1,3,3,77,52,42,94,0.558441558,0.246753247,0.077922078,0.025974026,0.012987013,0.038961039,0.038961039,0.553191489,0.446808511,0.04398148,0.472222219,0.462962969,1.95E-09,0.020833331
C10026,99,36,10,12,5,2,14,178,132,130,262,0.556179775,0.202247191,0.056179775,0.06741573,0.028089888,0.011235955,0.078651685,0.503816794,0.496183206,0.062792878,0.121368318,0.798500471,0.002811621,0.014526711
C10027,95,47,31,5,9,16,22,225,143,136,279,0.422222222,0.208888889,0.137777778,0.022222222,0.04,0.071111111,0.097777778,0.512544803,0.487455197,0.025572007,0.500672953,0.45536114,0.002243158,0.016150742
C10028,96,170,30,12,4,4,41,357,137,288,425,0.268907563,0.476190476,0.084033613,0.033613445,0.011204482,0.011204482,0.114845938,0.322352941,0.677647059,0.172839504,0.011757786,0.807760148,0.00058789,0.007054672
C10029,81,62,39,32,4,1,32,251,142,198,340,0.322709163,0.247011952,0.155378486,0.12749004,0.015936255,0.003984064,0.12749004,0.417647059,0.582352941,0.135225376,0.020589872,0.839732888,0.001112966,0.003338898
C10030,95,72,18,21,10,8,21,245,121,202,323,0.387755102,0.293877551,0.073469388,0.085714286,0.040816327,0.032653061,0.085714286,0.374613003,0.625386997,0.079010766,0.020651084,0.896534003,0,0.003804147
C10031,68,48,33,19,5,10,30,213,99,157,256,0.319248826,0.225352113,0.154929577,0.089201878,0.023474178,0.046948357,0.14084507,0.38671875,0.61328125,0.086864519,0.073424677,0.83401897,0,0.005691835
C10032,95,100,34,12,2,4,37,284,149,215,364,0.334507042,0.352112676,0.11971831,0.042253521,0.007042254,0.014084507,0.13028169,0.409340659,0.590659341,0.236134455,0.019327733,0.734453779,0.005042017,0.005042017
C10033,71,77,17,5,1,5,27,203,106,145,251,0.349753695,0.379310345,0.083743842,0.024630542,0.004926108,0.024630542,0.133004926,0.422310757,0.577689243,0.117532468,0.017532469,0.859090907,0.000649351,0.005194806
C10034,81,37,14,5,3,7,6,153,109,98,207,0.529411765,0.241830065,0.091503268,0.032679739,0.019607843,0.045751634,0.039215686,0.526570048,0.473429952,0.018815717,0.420586611,0.551189813,0.003320421,0.006087438
C10035,189,98,33,7,16,4,57,404,253,202,455,0.467821782,0.242574257,0.081683168,0.017326733,0.03960396,0.00990099,0.141089109,0.556043956,0.443956044,0.408352177,0.000935951,0.564035606,0.013338135,0.013338131
C10036,36,15,11,6,4,2,1,75,39,47,86,0.48,0.2,0.146666667,0.08,0.053333333,0.026666667,0.013333333,0.453488372,0.546511628,0.046868464,0.426126369,0.522243978,0.004761188,1.28E-09
