WARD,PRECINCT,JOINID,USR18D,USR18R
11,001,C11001,356,67
11,004,C11004,321,43
11,005,C11005,483,51
11,008,C11008,367,47
11,009,C11009,289,55
11,010,C11010,325,64
11,011,C11011,374,89
11,012,C11012,454,120
11,013,C11013,385,128
11,015,C11015,143,24
11,016,C11016,227,68
11,017,C11017,446,78
11,018,C11018,283,44
11,019,C11019,486,50
11,020,C11020,258,39
11,021,C11021,463,72
11,022,C11022,412,69
11,023,C11023,226,40
11,024,C11024,436,55
11,025,C11025,466,84
11,026,C11026,418,78
11,027,C11027,124,16
11,028,C11028,156,40
11,029,C11029,409,70
11,031,C11031,333,92
11,032,C11032,172,41
11,037,C11037,0,0
12,001,C12001,325,29
12,003,C12003,326,39
12,004,C12004,357,42
12,005,C12005,101,17
12,008,C12008,12,0
12,009,C12009,278,41
12,019,C12019,318,33
12,023,C12023,329,47
13,001,C13001,247,51
13,002,C13002,257,44
13,003,C13003,260,19
13,004,C13004,270,95
13,005,C13005,357,34
13,006,C13006,268,76
13,007,C13007,245,17
13,008,C13008,234,41
13,009,C13009,328,30
13,010,C13010,258,70
13,011,C13011,315,65
13,012,C13012,266,36
13,013,C13013,326,27
13,014,C13014,312,39
13,015,C13015,425,38
13,016,C13016,211,14
13,017,C13017,243,42
13,018,C13018,225,45
13,020,C13020,173,34
13,021,C13021,312,92
13,022,C13022,322,69
13,023,C13023,229,20
13,024,C13024,310,44
13,025,C13025,314,31
13,026,C13026,263,56
13,027,C13027,265,48
13,028,C13028,232,28
13,029,C13029,240,24
13,030,C13030,257,11
13,031,C13031,309,71
13,032,C13032,235,58
13,033,C13033,279,67
13,034,C13034,384,19
13,035,C13035,287,25
13,036,C13036,196,13
13,037,C13037,345,34
13,038,C13038,255,75
13,039,C13039,313,22
13,040,C13040,315,35
13,041,C13041,277,21
13,042,C13042,270,70
13,043,C13043,304,47
13,044,C13044,334,16
13,045,C13045,330,63
13,046,C13046,364,31
13,047,C13047,344,21
13,048,C13048,271,47
14,001,C14001,332,99
14,004,C14004,313,74
14,005,C14005,33,2
14,007,C14007,372,36
14,008,C14008,354,36
14,009,C14009,370,77
14,012,C14012,342,44
14,018,C14018,128,29
14,021,C14021,301,32
14,022,C14022,404,72
14,023,C14023,261,42
14,024,C14024,353,99
14,025,C14025,4,0
14,026,C14026,246,21
14,029,C14029,258,21
15,001,C15001,217,22
15,005,C15005,61,6
15,008,C15008,8,3
15,013,C15013,240,17
15,014,C15014,255,21
15,015,C15015,143,19
15,016,C15016,318,22
15,019,C15019,259,27
16,001,C16001,239,24
16,007,C16007,8,0
16,023,C16023,263,20
16,032,C16032,278,18
16,035,C16035,96,7
18,015,C18015,352,32
18,024,C18024,335,34
18,025,C18025,324,41
18,030,C18030,375,59
18,040,C18040,363,38
18,043,C18043,233,44
18,046,C18046,361,44
19,001,C19001,305,88
19,002,C19002,68,6
19,003,C19003,223,109
19,004,C19004,357,119
19,005,C19005,142,16
19,006,C19006,304,147
19,007,C19007,329,56
19,008,C19008,301,170
19,009,C19009,233,86
19,010,C19010,394,64
19,011,C19011,261,117
19,012,C19012,237,116
19,015,C19015,353,184
19,016,C19016,315,134
19,017,C19017,301,82
19,018,C19018,341,50
19,019,C19019,498,58
19,021,C19021,247,151
19,022,C19022,418,55
19,023,C19023,336,107
19,024,C19024,214,101
19,025,C19025,286,67
19,026,C19026,364,71
19,029,C19029,284,154
19,030,C19030,265,133
19,032,C19032,313,84
19,033,C19033,311,143
19,034,C19034,336,64
19,035,C19035,337,55
19,041,C19041,265,128
19,044,C19044,319,150
19,045,C19045,327,98
19,046,C19046,359,90
19,050,C19050,285,76
19,051,C19051,389,93
19,052,C19052,297,156
19,053,C19053,339,65
19,054,C19054,241,116
19,055,C19055,241,117
19,056,C19056,418,44
19,057,C19057,279,35
20,004,C20004,45,2
20,015,C20015,142,5
20,020,C20020,0,0
22,001,C22001,195,9
22,002,C22002,361,50
22,008,C22008,402,53
22,012,C22012,264,42
22,023,C22023,425,22
23,001,C23001,272,79
23,002,C23002,283,90
23,003,C23003,284,75
23,004,C23004,332,70
23,005,C23005,323,26
23,006,C23006,336,34
23,007,C23007,253,24
23,008,C23008,355,56
23,009,C23009,118,11
23,010,C23010,347,44
23,011,C23011,323,24
23,012,C23012,286,78
23,014,C23014,288,52
23,015,C23015,265,29
23,016,C23016,280,79
23,017,C23017,123,13
23,018,C23018,217,78
23,019,C23019,235,21
23,020,C23020,158,35
23,021,C23021,278,86
23,022,C23022,311,59
23,023,C23023,277,70
23,025,C23025,251,38
23,026,C23026,211,24
23,027,C23027,218,82
23,028,C23028,275,86
23,029,C23029,260,46
23,030,C23030,334,45
23,031,C23031,192,24
23,032,C23032,304,27
23,033,C23033,313,39
23,034,C23034,160,24
23,035,C23035,186,71
23,036,C23036,268,68
23,037,C23037,297,72
23,038,C23038,273,57
23,039,C23039,69,3
