Asian,Black,Hispanic,White
0.3431,16.4694,15.6162,17.5713
0.3238,16.5827,15.5271,17.5664
0.3014,16.7584,15.3891,17.5511
0.3599,16.243,15.7532,17.6439
0.3834,16.1489,15.8546,17.6131
0.3333,16.4276,15.5623,17.6768
0.3434,16.476,15.5299,17.6507
0.343,16.5049,15.4087,17.7434
0.3491,16.4277,15.6103,17.6129
0.3413,16.3801,15.7151,17.5635
0.3428,16.4142,15.6537,17.5893
0.3399,16.4478,15.61,17.6023
0.3458,16.4207,15.6353,17.5982
0.3478,16.4494,15.5991,17.6037
