,AAA,AAB,AAU,AAW,ABA,ABB,ABU,ABW,AOO,AUB,AUU,AUW,AWA,AWB,AWO,AWU,AWW,BAA,BAB,BAU,BAW,BBA,BBB,BBO,BBU,BBW,BOA,BOB,BOW,BUA,BUB,BUU,BUW,BWA,BWB,BWO,BWU,BWW,OBU,OOU,OUU,OWW,UAB,UAW,UBB,UBU,UBW,UUU,UWA,UWB,UWU,UWW,WAA,WAB,WAU,WAW,WBA,WBB,WBU,WBW,WUA,WUB,WUU,WUW,WWA,WWB,WWO,WWU,WWW
C01001,1.7914989405609885,3.828804410334692,1.7047846814265244,10.075740441048463,3.3902749041795293,5.411085228639203,3.825789672125552,13.563952528015893,0.0,0.09158288578924424,3.943026039265018,0.0,5.3847475597901875,10.028146138605651,0.0,4.794322226174925,16.347558048720977,4.001505762875521,5.758966919219559,3.758609646203756,19.567322976664467,7.631551940002489,4.269511218150326,0.0,14.917088551340573,33.95661914538714,0.0,0.11838728000449435,0.0,0.0,0.0,48.70403893116972,0.1885428493787767,16.674972336186705,29.668465543554642,0.0,36.26484497455081,122.0829461527891,0.0,0.0,0.13551032589627277,0.0,0.0,0.0,0.0,0.08640130087079965,0.17706936684754515,51.074662215405105,0.0,0.07771439112481623,0.35251807908678434,0.881315978902118,8.939530752424755,10.778725462788707,3.4469818612148413,17.123933061969154,14.714187792479958,20.957511198760724,26.411932734026234,101.16063547422232,0.0,0.0908085282643538,81.8902708372053,1.5553321722952973,22.561082689694693,83.86737710362999,0.0,53.33751908975063,165.63430344444816
C01002,1.8468503751406702,3.9494791217044702,1.7517684695710962,10.38507060505965,3.4858363198713933,5.568391069459714,3.9324846865887215,13.992922775802516,0.0,0.0981720514345868,4.077618273337283,0.0,5.552594053116492,10.36708441415275,0.0,4.968427962401513,16.961327882578157,4.115529118305942,5.987793515879293,3.8998910090540804,20.35751621270732,7.939379888200309,4.385896116131917,0.0,15.602227741215449,35.74739381978348,0.0,0.12239843583274997,0.0,0.0,0.0,51.55027693400462,0.20125354846423563,17.503089983486205,31.31306220754785,0.0,38.217997078458076,129.78930649226638,0.0,0.0,0.1360356258018966,0.0,0.0,0.0,0.0,0.09335200550962201,0.19067468033160712,53.03814340334224,0.0,0.08520578316593712,0.37968024366665315,0.949127688481554,9.201911100396993,11.227987282570773,3.5997430541929014,17.94761669899111,15.339997104042292,22.15670261363701,28.04638268880658,107.93417381072275,0.0,0.09745376829512672,87.7219422034291,1.6796810084623828,23.50165838767526,89.43391332780372,0.0,56.97363309618592,176.5938505904656
C01003,1.9937085197048667,4.265229919930293,1.8870087586829372,11.209462189779174,3.75647130870168,6.004133449225208,4.236979968576455,15.112667029465957,0.0,0.10865989796208451,4.4109676990007065,0.0,5.995178455141793,11.21221162665778,0.0,5.382035444929822,18.38757693016597,4.435934366736749,6.500229994210684,4.2279425240060835,22.108701276058255,8.622083668571006,4.723578947133597,0.0,17.00282761219954,39.11890291158186,0.0,0.13238336987417493,0.0,0.0,0.0,56.606202635189405,0.2221676175731518,19.118080914175238,34.322198763641204,0.0,41.85091029647927,142.91600028953448,0.0,0.0,0.14424146050648096,0.0,0.0,0.0,0.0,0.1038286092989384,0.21163842418466217,57.530543382183964,0.0,0.09561166856501897,0.4214761549109077,1.0535443801979616,9.92377217768774,12.203716881227058,3.9189820542542706,19.584899804293517,16.681900835875116,24.312026520375646,30.86028342241566,119.11872798646313,0.0,0.10794155541192524,97.05214370662338,1.8676605981832126,25.544144609130605,98.6675804972767,0.0,62.922064621807756,194.802886806745
C01004,1.7812801570439378,3.8151531971504347,1.6754664164053565,10.01145770891578,3.3392918760801393,5.346191872031744,3.7643229387336246,13.520645004108484,0.0,0.10401041383276699,3.9645066819490706,0.0,5.359115065836131,10.07118628705457,0.0,4.856453641347761,16.628676677199113,3.9455789117301694,5.901421749189365,3.8238096309917204,20.095109634615035,7.836158869501816,4.191667634562153,0.0,15.604438375232812,36.317488349408265,0.0,0.11892921578389117,0.0,0.0,0.0,53.04687729183772,0.21118420416736297,17.657706978948358,32.00664525333319,0.0,38.92621020939907,134.9387534183407,0.0,0.0,0.12212512011596868,0.0,0.0,0.0,0.0,0.10065516800430858,0.2040787611491,52.110998258501425,0.0,0.09480472848065474,0.406551659454536,1.016074840251493,8.840929631434463,11.117617340971941,3.5866669977397514,18.04105314054956,15.219924789521235,22.738226283275363,29.080313092956334,113.14929950129878,0.0,0.10351603434258178,92.79540507219022,1.8092584868477453,23.271180148913167,93.63755329063792,0.0,59.88156632421994,184.8124629626518
C01005,1.7431244667711339,3.729144233649245,1.6498355219741827,9.800573960150643,3.284330172743102,5.249489488389565,3.7044449454116353,13.2131951069393,0.0,0.09500271720893425,3.85656460925567,0.0,5.241660024286707,9.802977827438955,0.0,4.705581368772708,16.076490076068623,3.878393281277839,5.683232945318172,3.6965433938096823,19.329915954081514,7.538396334615033,4.129884560403277,0.0,14.865786308373808,34.20214946391316,0.0,0.11574444746589486,0.0,0.0,0.0,49.49151584054517,0.194243945937163,16.71517890897226,30.00833061953379,0.0,36.590777926372176,124.9532588819131,0.0,0.0,0.12611212544192218,0.0,0.0,0.0,0.0,0.09077866068736676,0.18503813955702167,50.299678596431995,0.0,0.08359448592273083,0.36850191014611344,0.9211271195370881,8.676478991096886,10.669863358142155,3.4264153641771395,17.123324543539034,14.585195986205807,21.256310963013235,26.98153443867888,104.14700401370435,0.0,0.09437466127080205,84.85391147982178,1.6329191815860313,22.333567324829843,86.26630821007547,0.0,55.013553514966056,170.31861720726937
C01006,1.863296941701145,3.9918920946459484,1.7500387550159175,10.47152849529775,3.488890891760802,5.587883131141753,3.9324417648654,14.14765770965012,0.0,0.11049955502145277,4.152820146230538,0.0,5.60653594592888,10.548061305397797,0.0,5.091809947160118,17.443471123944672,4.122902320051654,6.196159813705059,4.011246415855767,21.104306196818197,8.229541289196867,4.377645271131632,0.0,16.424333404852597,38.32505302984116,0.0,0.12456496200396387,0.0,0.0,0.0,56.09596930020598,0.22402154388830714,18.612237759130878,33.809532698245654,0.0,41.09506892204605,142.93101674607294,0.0,0.0,0.12609243339405185,0.0,0.0,0.0,0.0,0.10722570951512549,0.21715380031683076,54.68468423879975,0.0,0.10147177109718486,0.43262852616728187,1.081210332136039,9.241748644198221,11.682076532595365,3.7727301764890417,19.004956687925667,15.99812063097748,24.03465193303176,30.78937260679508,120.0087856628828,0.0,0.11001858913504085,98.56104160851893,1.9270645945025626,24.452791156947477,99.29444451796812,0.0,63.53780556181659,195.9637331759859
C01007,1.1795337124700433,2.5208857558932403,1.1224935741517732,6.633946743570498,2.2322631356016887,3.562783300607668,2.5190303462716956,8.930495964069216,0.0,0.06026366132190723,2.5959930782619987,0.0,3.5453365242877473,6.602320514514026,0.0,3.1563684104928247,10.762317225906633,2.6347051670647583,3.7912639145941123,2.4744566856695434,12.881512275554261,5.023987987319563,2.811216778722412,0.0,9.819409655399976,22.35032619874796,0.0,0.07794360375224232,0.0,0.0,0.0,32.05452221492625,0.12407353390143008,10.975984011165615,19.52710765412219,0.0,23.869226738483665,80.34345444027599,0.0,0.0,0.08925496526381456,0.0,0.0,0.0,0.0,0.05684720956275886,0.11650767403601181,33.62427098653912,0.0,0.0511201498848216,0.23194828427838637,0.5798852730475719,5.88596989731024,7.095693828151342,2.2690822079953787,11.27175318665482,9.686313441306654,13.793406680962105,17.38214304345662,66.57074985687244,0.0,0.05975307354387713,53.88625689179218,1.0233285334668498,14.8520818725611,55.19103807311043,0.0,35.09920194018898,109.00013980572307
C01008,1.6674331922853072,3.5692832665086023,1.5732447670797634,9.373285410139726,3.1337206164916176,5.012945102497319,3.533571813348489,12.648047247189742,0.0,0.09414916421554945,3.7002111747097413,0.0,5.015336704100194,9.402630850225066,0.0,4.523858279391872,15.472985994060766,3.701619677225195,5.480740946094353,3.5579182149572737,18.65209846863099,7.273748985257305,3.937039588854343,0.0,14.415424989037689,33.36239325841585,0.0,0.1110260286131337,0.0,0.0,0.0,48.509839339055446,0.19180126134639486,16.26167250831141,29.338769586727395,0.0,35.72654594554588,122.9513266265788,0.0,0.0,0.1174495726155795,0.0,0.0,0.0,0.0,0.09056247538643196,0.18408222357860596,48.45095586760148,0.0,0.08439435745852697,0.36665984317610445,0.9164453931126881,8.287694005782424,10.307700808859028,3.3178890738420086,16.63616516471124,14.100842778713323,20.813393050141176,26.52213567704184,102.7993066892606,0.0,0.09361799920742338,84.0424551250712,1.6284078112622307,21.575697134911916,85.10962989919837,0.0,54.35489565920054,168.00686553259234
C01009,1.2688794599425324,2.717903745134462,1.1929955239395291,7.131398291930103,2.3778944539592284,3.8074303987563445,2.6804540677877475,9.632197972230939,0.0,0.07442694569226822,2.8252229263491375,0.0,3.8176509832110126,7.176723242025581,0.0,3.461774426448427,11.855007713124118,2.8097399461607298,4.20837543317773,2.726105755903336,14.331168353393481,5.588458541500299,2.9845100749590237,0.0,11.135729785106207,25.936734423281198,0.0,0.08474977965633437,0.0,0.0,0.0,37.90738120852292,0.15105064897186465,12.606282812894765,22.864719307774674,0.0,27.803173841895205,96.47410748107606,0.0,0.0,0.08666750130024138,0.0,0.0,0.0,0.0,0.0720834891490423,0.1461007938765369,37.15526823371384,0.0,0.0679882955244242,0.2910578092423606,0.7274193191807573,6.296524095310824,7.929927303220329,2.559065907775555,12.877719980125734,10.857082270188503,16.246686847597935,20.78825817754336,80.92698135982907,0.0,0.07408192913046519,66.39709319499188,1.2956287758545924,16.59878840708347,66.96783242239621,0.0,42.83381634319003,132.17171281077893
C01010,1.9867789116987289,4.250439772081591,1.8803670424257,11.170472201360544,3.743280803930746,5.983120567456478,4.222085468834212,15.060283592120479,0.0,0.10833705937793468,4.39582252484556,0.0,5.974362307384884,11.173665376927056,0.0,5.363707785619811,18.325251736898228,4.420376055649568,6.478379201826771,4.213614166930683,22.03456468053311,8.59316627263995,4.706934528544426,0.0,16.947001026611623,38.99375280632705,0.0,0.1319283941596336,0.0,0.0,0.0,56.429019842799434,0.22149584689503626,19.0561954889522,34.213521096695736,0.0,41.71759261129539,142.47664663661365,0.0,0.0,0.14368671011104328,0.0,0.0,0.0,0.0,0.10353017124794037,0.21102146898866853,57.33620413432086,0.0,0.09535359128860636,0.4202485267472765,1.0504744412243086,9.8890781510416,12.162995293034156,3.9060354335367027,19.521124846572913,16.626415791426574,24.235570681152165,30.76495800133091,118.75791027154185,0.0,0.1076223804250347,96.76297015116984,1.862281883071948,25.458911592750958,98.36803403034772,0.0,62.73236218992468,194.2110110039396
