,BBB,BBH,BBW,BHB,BHH,BHW,BWB,BWH,BWW,HBB,HBH,HBW,HHB,HHH,HHW,HWB,HWH,HWW,WBB,WBH,WBW,WHB,WHH,WHW,WWB,WWH,WWW
C10001,2.518945269222247,0.0,8.4037225792156,0.0,0.0,0.0,6.7588078883226235,0.0,31.31852426323953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.681948424068768,0.0,31.392550143266476,0.0,0.0,0.0,30.945558739255013,0.0,42.97994269340974
C10002,0.5654775094172391,0.0,1.8865499667626855,0.0,0.0,0.0,1.517283403500997,0.0,7.030689120319078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.032990010067374,0.0,55.43189034306513,0.0,0.0,0.0,54.64260822427011,0.0,75.89251142259738
C10003,0.6168845557278972,0.0,2.058054509195657,0.0,0.0,0.0,1.655218258364724,0.0,7.669842676711722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.316347866491133,0.0,51.47246960427476,0.0,0.0,0.0,50.73956477967939,0.0,70.47161774955471
C10004,1.1309550188344781,0.0,3.773099933525371,0.0,0.0,0.0,3.034566807001994,0.0,14.061378240638156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.043909238751646,0.0,22.342445597459925,0.0,0.0,0.0,22.024316580190504,0.0,30.589328583597926
C10005,0.6168845557278972,0.0,2.058054509195657,0.0,0.0,0.0,1.655218258364724,0.0,7.669842676711722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.780686130256331,0.0,42.98799659258112,0.0,0.0,0.0,42.37590025555642,0.0,58.85541702160614
C10006,0.2570352315532905,0.0,0.8575227121648571,0.0,0.0,0.0,0.689674274318635,0.0,3.1957677819632173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.398590567645009,0.0,35.35197088205684,0.0,0.0,0.0,34.848602183845735,0.0,48.40083636645241
C10007,0.514070463106581,0.0,1.7150454243297142,0.0,0.0,0.0,1.37934854863727,0.0,6.391535563926435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.299852861457446,0.0,23.756524432742196,0.0,0.0,0.0,23.418260667544335,0.0,32.52536203825602
C10008,1.490804343009085,0.0,4.973631730556171,0.0,0.0,0.0,4.000110791048083,0.0,18.53545313538666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.713002400681484,0.0,14.9892356539921,0.0,0.0,0.0,14.775807325950593,0.0,20.521954619375823
C10009,0.5654775094172391,0.0,1.8865499667626855,0.0,0.0,0.0,1.517283403500997,0.0,7.030689120319078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.930612560985054,0.0,54.86625880895222,0.0,0.0,0.0,54.08503058932858,0.0,75.11809804073414
C10010,0.2056281852426324,0.0,0.6860181697318857,0.0,0.0,0.0,0.551739419454908,0.0,2.556614225570574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.729497405715171,0.0,42.705180825524664,0.0,0.0,0.0,42.09711143808565,0.0,58.468210330674516
