,BBB,BBH,BBW,BHB,BHH,BHW,BWB,BWH,BWW,HBB,HBH,HBW,HHB,HHH,HHW,HWB,HWH,HWW,WBB,WBH,WBW,WHB,WHH,WHW,WWB,WWH,WWW
C10001,0.03420354600027921,0.0,0.8414072316068686,0.0,0.0,0.0,1.6212480804132348,0.0,45.87379589557448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719399353886651,0.0,28.317772105452082,0.0,0.0,0.0,26.60006780201811,0.0,54.30911737725841
C10002,0.00767834706128717,0.0,0.18888733770766436,0.0,0.0,0.0,0.3639536507050119,0.0,10.298199078598353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2702907510070593,0.0,50.00255254656403,0.0,0.0,0.0,46.96948909185179,0.0,95.89718023371755
C10003,0.008376378612313277,0.0,0.2060589138629066,0.0,0.0,0.0,0.39704034622364937,0.0,11.234398994834567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.179555697363698,0.0,46.43094165038089,0.0,0.0,0.0,43.61452558529095,0.0,89.04738164559487
C10004,0.01535669412257434,0.0,0.3777746754153287,0.0,0.0,0.0,0.7279073014100238,0.0,20.596398157196706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120049455589678,0.0,20.154090057033464,0.0,0.0,0.0,18.931579787021896,0.0,38.65243489012085
C10005,0.008376378612313277,0.0,0.2060589138629066,0.0,0.0,0.0,0.39704034622364937,0.0,11.234398994834567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851234395564951,0.0,38.77748972998844,0.0,0.0,0.0,36.425318071232006,0.0,74.3692418139034
C10006,0.0034901577551305317,0.0,0.08585788077621108,0.0,0.0,0.0,0.16543347759318722,0.0,4.680999581181069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8101344075300123,0.0,31.889383001635228,0.0,0.0,0.0,29.95503130857895,0.0,61.15891596538109
C10007,0.006980315510261063,0.0,0.17171576155242216,0.0,0.0,0.0,0.33086695518637443,0.0,9.361999162362139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5444103218601682,0.0,21.42966537709887,0.0,0.0,0.0,20.129781039365056,0.0,41.09879152873609
C10008,0.020242914979757085,0.0,0.4979757085020243,0.0,0.0,0.0,0.9595141700404859,0.0,27.149797570850204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3434969887927252,0.0,13.521098392693336,0.0,0.0,0.0,12.700933274837475,0.0,25.93138036932158
C10009,0.00767834706128717,0.0,0.18888733770766436,0.0,0.0,0.0,0.3639536507050119,0.0,10.298199078598353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2573286004865791,0.0,49.492322418537874,0.0,0.0,0.0,46.490208590914534,0.0,94.91863757827144
C10010,0.0027921262041044254,0.0,0.06868630462096886,0.0,0.0,0.0,0.13234678207454978,0.0,3.7447996649448556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978642364296255,0.0,38.522374665975356,0.0,0.0,0.0,36.185677820763374,0.0,73.87997048618035
C10011,0.004188189306156638,0.0,0.1030294569314533,0.0,0.0,0.0,0.19852017311182468,0.0,5.617199497417284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8166154827902524,0.0,32.14449806564831,0.0,0.0,0.0,30.19467155904758,0.0,61.64818729310414
C10012,0.0027921262041044254,0.0,0.06868630462096886,0.0,0.0,0.0,0.13234678207454978,0.0,3.7447996649448556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65458860128425,0.0,25.766621465321265,0.0,0.0,0.0,24.203665297331792,0.0,49.41640410002792
C10013,0.012564567918469915,0.0,0.3090883707943599,0.0,0.0,0.0,0.595560519335474,0.0,16.85159849225185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8101344075300123,0.0,31.889383001635228,0.0,0.0,0.0,29.95503130857895,0.0,61.15891596538109
C10014,0.0027921262041044254,0.0,0.06868630462096886,0.0,0.0,0.0,0.13234678207454978,0.0,3.7447996649448556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0693774179396163,0.0,42.0939855621585,0.0,0.0,0.0,39.54064132732422,0.0,80.72976907430304
C10015,0.1095909535110987,0.0,2.695937456373028,0.0,0.0,0.0,5.194611196426079,0.0,146.98338684908558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3480636541299404,0.0,53.06393331472102,0.0,0.0,0.0,49.84517209747538,0.0,101.76843616639414
C10016,0.0034901577551305317,0.0,0.08585788077621108,0.0,0.0,0.0,0.16543347759318722,0.0,4.680999581181069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777290312288119,0.0,30.613807681569817,0.0,0.0,0.0,28.756830056235792,0.0,58.71255932676584
C10017,0.010470473265391595,0.0,0.2575736423286332,0.0,0.0,0.0,0.49630043277956165,0.0,14.042998743543208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6591552666214653,0.0,65.30945638734894,0.0,0.0,0.0,61.34790411996969,0.0,125.25345989710047
C10018,0.012564567918469915,0.0,0.3090883707943599,0.0,0.0,0.0,0.595560519335474,0.0,16.85159849225185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31757268775176484,0.0,12.500638136641008,0.0,0.0,0.0,11.742372272962948,0.0,23.974295058429387
C10019,0.010470473265391595,0.0,0.2575736423286332,0.0,0.0,0.0,0.49630043277956165,0.0,14.042998743543208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0240098911179356,0.0,40.30818011406693,0.0,0.0,0.0,37.86315957404379,0.0,77.3048697802417
C10020,0.011168504816417702,0.0,0.27474521848387545,0.0,0.0,0.0,0.5293871282981991,0.0,14.979198659779422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2184421489251385,0.0,47.961632034459384,0.0,0.0,0.0,45.05236708810274,0.0,91.98300961193316
C10021,0.00767834706128717,0.0,0.18888733770766436,0.0,0.0,0.0,0.3639536507050119,0.0,10.298199078598353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8230965580504925,0.0,32.39961312966139,0.0,0.0,0.0,30.434311809516213,0.0,62.13745862082719
C10022,0.002094094653078319,0.0,0.05151472846572665,0.0,0.0,0.0,0.09926008655591234,0.0,2.808599748708642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31757268775176484,0.0,12.500638136641008,0.0,0.0,0.0,11.742372272962948,0.0,23.974295058429387
C10023,0.0027921262041044254,0.0,0.06868630462096886,0.0,0.0,0.0,0.13234678207454978,0.0,3.7447996649448556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934750528456906,0.0,27.297311849399755,0.0,0.0,0.0,25.64150680014358,0.0,52.35203206636621
C10024,0.011866536367443808,0.0,0.2919167946391177,0.0,0.0,0.0,0.5624738238168365,0.0,15.915398576015637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3415825788697004,0.0,52.80881825070794,0.0,0.0,0.0,49.605531847006745,0.0,101.27916483867108
C10025,0.00767834706128717,0.0,0.18888733770766436,0.0,0.0,0.0,0.3639536507050119,0.0,10.298199078598353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18147010728672278,0.0,7.14322179236629,0.0,0.0,0.0,6.709927013121685,0.0,13.699597176245364
C10026,0.006980315510261063,0.0,0.17171576155242216,0.0,0.0,0.0,0.33086695518637443,0.0,9.361999162362139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4407131176963267,0.0,17.347824352889564,0.0,0.0,0.0,16.29553703186695,0.0,33.270450285167314
C10027,0.032807482898227,0.0,0.8070640792963841,0.0,0.0,0.0,1.55507468937596,0.0,44.00139606310206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4731184939975272,0.0,18.62339967295497,0.0,0.0,0.0,17.493738284210107,0.0,35.716806923782556
C10028,0.004886220857182744,0.0,0.12020103308669551,0.0,0.0,0.0,0.23160686863046212,0.0,6.553399413653497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008694611733737,0.0,35.46099389781837,0.0,0.0,0.0,33.309994815139795,0.0,68.00871455350376
C10029,0.008376378612313277,0.0,0.2060589138629066,0.0,0.0,0.0,0.39704034622364937,0.0,11.234398994834567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6869939775854504,0.0,27.042196785386672,0.0,0.0,0.0,25.40186654967495,0.0,51.86276073864316
C10030,0.004188189306156638,0.0,0.1030294569314533,0.0,0.0,0.0,0.19852017311182468,0.0,5.617199497417284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5638535476408886,0.0,22.19501056913812,0.0,0.0,0.0,20.84870179077095,0.0,42.56660551190524
C10031,0.004188189306156638,0.0,0.1030294569314533,0.0,0.0,0.0,0.19852017311182468,0.0,5.617199497417284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4860806445180074,0.0,19.133629800981137,0.0,0.0,0.0,17.97301878514737,0.0,36.695349579228655
C10032,0.0027921262041044254,0.0,0.06868630462096886,0.0,0.0,0.0,0.13234678207454978,0.0,3.7447996649448556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8749451601324133,0.0,34.440533641766045,0.0,0.0,0.0,32.35143381326527,0.0,66.05162924261158
C10033,0.005584252408208851,0.0,0.13737260924193773,0.0,0.0,0.0,0.26469356414909956,0.0,7.489599329889711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5379292465999282,0.0,21.174550313085792,0.0,0.0,0.0,19.890140788896424,0.0,40.60952020101304
C10034,0.006980315510261063,0.0,0.17171576155242216,0.0,0.0,0.0,0.33086695518637443,0.0,9.361999162362139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46015634347704704,0.0,18.11316954492881,0.0,0.0,0.0,17.014457783272842,0.0,34.73826426833646
C10035,0.0034901577551305317,0.0,0.08585788077621108,0.0,0.0,0.0,0.16543347759318722,0.0,4.680999581181069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237885374705859,0.0,48.726977226498626,0.0,0.0,0.0,45.77128783950864,0.0,93.4508235951023
C10036,0.009772441714365488,0.0,0.24040206617339102,0.0,0.0,0.0,0.46321373726092424,0.0,13.106798827306994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21387548358792327,0.0,8.4187971124317,0.0,0.0,0.0,7.908128265464843,0.0,16.145953814860608
C11001,0.008376378612313277,0.0,0.2060589138629066,0.0,0.0,0.0,0.39704034622364937,0.0,11.234398994834567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3415825788697004,0.0,52.80881825070794,0.0,0.0,0.0,49.605531847006745,0.0,101.27916483867108
C11002,0.008376378612313277,0.0,0.2060589138629066,0.0,0.0,0.0,0.39704034622364937,0.0,11.234398994834567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10369720416384158,0.0,4.081841024209309,0.0,0.0,0.0,3.8342440074981057,0.0,7.828341243568779
C11003,0.0034901577551305317,0.0,0.08585788077621108,0.0,0.0,0.0,0.16543347759318722,0.0,4.680999581181069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694212898336856,0.0,14.541558648745664,0.0,0.0,0.0,13.659494276712001,0.0,27.888465680213777
