,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C01001,26.90992302476768,13.180213775774739,0,14.0313285207195,0.35645913931320544,0,0,0,0,195.6657824933687,6.915119363395226,0,3.588859416445623,0.14588859416445624,0,0,0,0,0,0,0,0,0,0,0,0,0
C01002,24.952837713875486,12.221652773900212,0,13.010868264667172,0.33053483827224506,0,0,0,0,139.49378751919588,4.929917632276979,0,2.5585648471310902,0.10400670110288984,0,0,0,0,0,0,0,0,0,0,0,0,0
C01003,36.2060782515056,17.73337853467874,0,18.878514736968054,0.4795995692577673,0,0,0,0,173.19698450369958,6.121038670947927,0,3.17674158871981,0.1291358369398297,0,0,0,0,0,0,0,0,0,0,0,0,0
C01004,46.48077613368963,22.765823794520003,0,24.23593108124277,0.6157021497228093,0,0,0,0,148.85578668155802,5.260784587463354,0,2.7302806086835125,0.11098701661315091,0,0,0,0,0,0,0,0,0,0,0,0,0
C01005,34.24899294061341,16.774817532804214,0,17.858054480915726,0.4536752682168069,0,0,0,0,163.83498534133744,5.790171715761553,0,3.0050258271673878,0.12215552142956862,0,0,0,0,0,0,0,0,0,0,0,0,0
C01006,43.05587683962828,21.08834204123958,0,22.4501256331512,0.5703346229011287,0,0,0,0,126.38698869188887,4.466703895016055,0,2.318162780957699,0.09423425938852435,0,0,0,0,0,0,0,0,0,0,0,0,0
C01007,18.59231045347585,9.106329517808001,0,9.69437243249711,0.24628085988912377,0,0,0,0,135.74898785425103,4.79757085020243,0,2.4898785425101213,0.10121457489878542,0,0,0,0,0,0,0,0,0,0,0,0,0
C01008,36.2060782515056,17.73337853467874,0,18.878514736968054,0.4795995692577673,0,0,0,0,140.42998743543208,4.963004327795617,0,2.5757364232863322,0.10470473265391596,0,0,0,0,0,0,0,0,0,0,0,0,0
C01009,37.1846209069517,18.212659035616003,0,19.38874486499422,0.49256171977824753,0,0,0,0,116.08878961329053,4.102750244311043,0,2.1292754432500347,0.0865559123272372,0,0,0,0,0,0,0,0,0,0,0,0,0
C01010,31.802636301998167,15.576616280461055,0,16.58247916085032,0.42126989191560643,0,0,0,0,151.66438643026666,5.360044674019266,0,2.781795337149239,0.11308111126622923,0,0,0,0,0,0,0,0,0,0,0,0,0
C01011,34.73826426833646,17.014457783272842,0,18.11316954492881,0.46015634347704704,0,0,0,0,194.7295825771325,6.882032667876588,0,3.571687840290381,0.14519056261343014,0,0,0,0,0,0,0,0,0,0,0,0,0
C01012,35.22753559605951,17.254098033741474,0,18.36828460894189,0.4666374187372871,0,0,0,0,204.09158173949464,7.212899623062963,0,3.743403601842803,0.15217087812369118,0,0,0,0,0,0,0,0,0,0,0,0,0
C01013,18.1030391257528,8.86668926733937,0,9.439257368484027,0.23979978462888366,0,0,0,0,88.93899204244032,3.143236074270557,0,1.6312997347480105,0.0663129973474801,0,0,0,0,0,0,0,0,0,0,0,0,0
C01014,39.63097754556694,19.41086028795916,0,20.664320185059626,0.524967096079448,0,0,0,0,171.32458467122714,6.054865279910652,0,3.1423984364093256,0.12773977383777746,0,0,0,0,0,0,0,0,0,0,0,0,0
C01015,28.377737007936826,13.899134527180633,0,14.796673712758745,0.3759023650939257,0,0,0,0,141.3661873516683,4.996091023314254,0,2.5929079994415747,0.10540276420494206,0,0,0,0,0,0,0,0,0,0,0,0,0
C01016,34.73826426833646,17.014457783272842,0,18.11316954492881,0.46015634347704704,0,0,0,0,182.55898366606172,6.451905626134302,0,3.348457350272232,0.13611615245009073,0,0,0,0,0,0,0,0,0,0,0,0,0
C01017,21.038667092091096,10.304530770151159,0,10.969947752562518,0.27868623619032423,0,0,0,0,170.38838475499094,6.021778584392015,0,3.125226860254083,0.12704174228675136,0,0,0,0,0,0,0,0,0,0,0,0,0
C01018,23.485023730706338,11.502732022494317,0,12.245523072627927,0.3110916124915247,0,0,0,0,182.55898366606172,6.451905626134302,0,3.348457350272232,0.13611615245009073,0,0,0,0,0,0,0,0,0,0,0,0,0
C01019,35.22753559605951,17.254098033741474,0,18.36828460894189,0.4666374187372871,0,0,0,0,188.17618316347898,6.650425799246126,0,3.4514868072036853,0.14030434175624737,0,0,0,0,0,0,0,0,0,0,0,0,0
C01020,14.67813983169146,7.189207514058948,0,7.653451920392454,0.19443225780720297,0,0,0,0,159.15398576015636,5.624738238168366,0,2.919167946391177,0.11866536367443808,0,0,0,0,0,0,0,0,0,0,0,0,0
C01021,34.73826426833646,17.014457783272842,0,18.11316954492881,0.46015634347704704,0,0,0,0,171.32458467122714,6.054865279910652,0,3.1423984364093256,0.12773977383777746,0,0,0,0,0,0,0,0,0,0,0,0,0
C01022,20.549395764368047,10.064890519682528,0,10.714832688549436,0.2722051609300841,0,0,0,0,105.79059053469217,3.7387965936060312,0,1.9403881055423704,0.07887756526595002,0,0,0,0,0,0,0,0,0,0,0,0,0
C01023,34.73826426833646,17.014457783272842,0,18.11316954492881,0.46015634347704704,0,0,0,0,267.7531760435572,9.462794918330308,0,4.911070780399274,0.1996370235934664,0,0,0,0,0,0,0,0,0,0,0,0,0
C01024,21.038667092091096,10.304530770151159,0,10.969947752562518,0.27868623619032423,0,0,0,0,133.8765880217786,4.731397459165154,0,2.455535390199637,0.0998185117967332,0,0,0,0,0,0,0,0,0,0,0,0,0
C01025,18.1030391257528,8.86668926733937,0,9.439257368484027,0.23979978462888366,0,0,0,0,171.32458467122714,6.054865279910652,0,3.1423984364093256,0.12773977383777746,0,0,0,0,0,0,0,0,0,0,0,0,0
C01026,20.549395764368047,10.064890519682528,0,10.714832688549436,0.2722051609300841,0,0,0,0,105.79059053469217,3.7387965936060312,0,1.9403881055423704,0.07887756526595002,0,0,0,0,0,0,0,0,0,0,0,0,0
