,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C01001,27.182153584954943,11.784559879848505,0,11.97221496669714,0.6509566409821079,0,0,0,0,170.70738183749336,10.86146726348532,0,9.466125483650709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01002,25.20526968786731,10.927500979495887,0,11.10150842366462,0.6036143398197727,0,0,0,0,121.70047796070101,7.743342690235945,0,6.748577497913663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01003,36.57235209612119,15.855589656523444,0,16.108071046101607,0.8758325715031997,0,0,0,0,151.10462028677642,9.61421743418557,0,8.37910628935589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01004,46.95099255583126,20.355148883374692,0,20.679280397022332,1.124379652605459,0,0,0,0,129.86829527349974,8.26303011911084,0,7.2015021622031705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01005,34.59546819903356,14.998530756170824,0,15.237364503069086,0.8284902703408646,0,0,0,0,142.9368029739777,9.094530005310673,0,7.926181625066383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01006,43.491445735927904,18.855295807757606,0,19.155543946715422,1.0415306255713728,0,0,0,0,110.26553372278279,7.015780289811091,0,6.114482967908352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01007,18.780397022332505,8.142059553349876,0,8.271712158808933,0.4497518610421837,0,0,0,0,118.43335103558151,7.535467718685987,0,6.5674076321978605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01008,36.57235209612119,15.855589656523444,0,16.108071046101607,0.8758325715031997,0,0,0,0,122.51725969198088,7.795311433123435,0,6.793869964342614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01009,37.56079404466501,16.28411910669975,0,16.543424317617866,0.8995037220843674,0,0,0,0,101.2809346787042,6.444124118048706,0,5.616265837189895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01010,32.124363327674025,13.927207130730052,0,14.148981324278438,0.7693123938879457,0,0,0,0,132.31864046733935,8.41893634777331,0,7.337379561490023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
