,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C01001,21.296368001239063,15.333384960892124,0,15.55486718810501,2.815379849763804,0,0,0,0,133.58309328606248,28.828384666518943,0,35.84444936849103,10.744072678927543,0,0,0,0,0,0,0,0,0,0,0,0,0
C01002,19.747541237512586,14.21822969100906,0,14.42360411987919,2.6106249515991635,0,0,0,0,95.23387990250387,20.552293374695324,0,25.55417682251274,7.659649900288057,0,0,0,0,0,0,0,0,0,0,0,0,0
C01003,28.653295128939828,20.630372492836678,0,20.92836676217765,3.7879656160458453,0,0,0,0,118.24340793263904,25.517948149789497,0,31.728340350099714,9.510303567471748,0,0,0,0,0,0,0,0,0,0,0,0,0
C01004,36.784635638503836,26.48493765972276,0,26.8674978703632,4.862928831410207,0,0,0,0,101.62541546643031,21.93164192333259,0,27.269222246842457,8.173720363394638,0,0,0,0,0,0,0,0,0,0,0,0,0
C01005,27.10446836521335,19.515217222953613,0,19.79710369395183,3.583210717881205,0,0,0,0,111.8518723687126,24.138599601152226,0,30.013294925769998,8.996233104365167,0,0,0,0,0,0,0,0,0,0,0,0,0
C01006,34.0741888019825,24.5334159374274,0,24.887787500968017,4.504607759622086,0,0,0,0,86.28573011300686,18.621205406603146,0,23.15311322845114,6.939951251938844,0,0,0,0,0,0,0,0,0,0,0,0,0
C01007,14.713854255401534,10.593975063889104,0,10.74699914814528,1.9451715325640828,0,0,0,0,92.6772656769333,20.000553955240417,0,24.868158652780856,7.454021715045425,0,0,0,0,0,0,0,0,0,0,0,0,0
C01008,28.653295128939828,20.630372492836678,0,20.92836676217765,3.7879656160458453,0,0,0,0,95.87303345889653,20.69022822955905,0,25.725681364945714,7.711056946598715,0,0,0,0,0,0,0,0,0,0,0,0,0
C01009,29.42770851080307,21.18795012777821,0,21.49399829629056,3.8903430651281656,0,0,0,0,79.2550409926878,17.10392200310215,0,21.266563261688457,6.374473742521604,0,0,0,0,0,0,0,0,0,0,0,0,0
C01010,25.168434910555256,18.121273135599782,0,18.383024858669557,3.327267095175405,0,0,0,0,103.54287613560824,22.345446487923773,0,27.78373587414137,8.327941502326613,0,0,0,0,0,0,0,0,0,0,0,0,0
