WardPrecin,TOTALPOP,Ward,Precinct,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,HISP,H_WHITE,H_BLACK,H_AMIN,H_ASIAN,H_NHPI,H_OTHER,H_2MORE,VAP,HVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP
1-2,3208.000000000000000,"1","2","2038","221","5","521","0","17","92","314","189","32","5","1","0","46","41","2851","261","184","4","468","0","14","55"
2-1,3156.000000000000000,"2","1","954","1192","2","340","3","14","156","495","189","65","6","2","2","170","61","2396","348","814","2","263","1","8","97"
2-2,3250.000000000000000,"2","2","1324","210","10","1201","1","7","148","349","241","10","0","3","2","57","36","3168","343","199","10","1156","1","7","144"
3-1,3193.000000000000000,"3","1","2016","334","4","312","0","63","107","357","165","45","2","0","0","117","28","2740","248","245","4","282","0","43","73"
3-2,1770.000000000000000,"3","2","1175","212","0","182","1","13","47","140","63","26","0","0","0","40","11","1540","114","141","0","162","1","7","28"
3-3,3243.000000000000000,"3","3","1763","541","9","431","2","15","169","313","134","36","3","4","0","110","26","2954","261","447","9","405","2","13","129"
4-3,3101.000000000000000,"4","3","1407","210","8","1053","0","14","95","314","255","6","1","2","0","29","21","2827","286","176","8","968","0","11","82"
5-1,3189.000000000000000,"5","1","1913","414","3","423","2","27","123","284","185","35","2","1","0","40","21","2782","231","307","3","386","2","18","87"
5-2,3225.000000000000000,"5","2","1916","646","4","301","3","13","136","206","99","34","2","3","0","46","22","2639","151","451","3","259","3","12","78"
5-3,3225.000000000000000,"5","3","1948","157","4","826","0","14","109","167","119","3","2","1","0","24","18","3000","149","139","2","808","0","8","85"
6-1,3072.000000000000000,"6","1","2574","226","4","403","0","27","88","224","128","16","1","0","0","67","12","3178","176","188","2","362","0","22","64"
6-3,3087.000000000000000,"6","3","2835","132","3","386","1","13","83","181","124","10","1","1","0","39","6","3320","156","111","3","359","1","8","66"
7-1,3136.000000000000000,"7","1","2632","158","2","380","3","10","106","190","132","6","3","0","0","32","17","3116","154","126","1","357","3","8","55"
7-2,3266.000000000000000,"7","2","2228","147","6","562","0","7","116","197","148","8","0","1","0","25","15","3160","185","138","6","545","0","7","106"
7-3,3302.000000000000000,"7","3","1907","192","2","770","0","13","198","220","155","8","1","3","0","24","29","3223","209","179","2","754","0","13","194"
8-1,3183.000000000000000,"8","1","2248","110","7","518","0","3","106","191","138","3","1","5","0","27","17","3049","175","107","7","509","0","2","89"
8-2,3164.000000000000000,"8","2","2294","146","2","420","1","11","103","187","147","2","3","2","0","21","12","3006","168","142","2","404","1","9","88"
8-3,3184.000000000000000,"8","3","1864","249","2","652","2","0","198","217","158","7","0","1","0","35","16","3139","207","241","2","646","2","0","192"
9-1,3160.000000000000000,"9","1","2908","58","7","140","0","11","77","113","90","5","4","0","0","5","9","2745","82","52","4","120","0","6","27"
9-2,3191.000000000000000,"9","2","2877","195","8","334","0","26","105","192","141","13","1","0","0","23","14","3093","125","157","3","267","0","14","51"
9-3,3200.000000000000000,"9","3","2475","443","10","324","0","23","122","257","120","28","3","0","3","75","28","2966","171","307","9","267","0","19","54"
10-1,3119.000000000000000,"10","1","2710","187","2","314","1","13","118","143","92","3","4","3","0","25","16","3086","112","168","2","274","1","10","72"
10-2,3111.000000000000000,"10","2","2579","95","1","240","0","6","60","130","98","5","4","3","0","13","7","2723","109","84","1","214","0","4","37"
10-3,3113.000000000000000,"10","3","1420","1014","8","359","0","14","134","164","97","31","0","0","0","21","15","2418","113","721","7","285","0","9","78"
11-1,3201.000000000000000,"11","1","762","1548","11","961","5","26","115","405","119","74","4","4","0","152","52","2912","283","1092","5","752","5","21","83"
11-2,3274.000000000000000,"11","2","2675","246","5","285","1","13","128","181","87","24","7","2","0","33","28","3026","128","191","5","244","1","9","84"
11-3,3207.000000000000000,"11","3","2695","398","2","540","1","10","130","263","158","18","8","3","0","44","32","3463","185","315","2","453","1","6","87"
6-2,3305.000000000000000,"6","2","2334","129","1","537","0","21","88","195","162","1","1","2","0","22","7","3103","174","119","1","503","0","18","63"
4-1,3181.000000000000000,"4","1","1770","723","10","276","1","22","133","246","99","29","7","0","0","75","36","2693","189","555","7","244","1","14","83"
4-2,3237.000000000000000,"4","2","2186","253","5","456","5","11","90","231","157","16","2","2","0","34","20","2982","197","215","3","434","5","9","65"
3-2A,1197.000000000000000,"3",2A,"1062","159","4","98","0","38","61","212","112","14","1","1","0","61","23","1453","150","120","3","95","0","33","48"
3-2A,219.000000000000000,"3",2A,"126","37","0","42","0","0","2","12","11","0","0","0","0","0","1","181","6","22","0","37","0","0","1"
2-3,3075.000000000000000,"2","3","1547","121","5","952","1","12","133","304","225","17","1","7","0","32","22","2974","294","109","5","915","1","11","126"
1-1,3218.000000000000000,"1","1","2028","185","0","544","0","15","91","355","246","8","1","2","0","81","17","2930","317","148","0","493","0","10","68"
1-3,3200.000000000000000,"1","3","1929","462","7","406","2","51","97","333","167","37","4","3","0","82","40","2880","267","340","5","359","2","39","70"
