,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C10001,42.97994269340974,30.945558739255013,0,31.392550143266476,5.681948424068768,0,0,0,0,31.31852426323953,6.7588078883226235,0,8.4037225792156,2.518945269222247,0,0,0,0,0,0,0,0,0,0,0,0,0
C10002,75.89251142259738,54.64260822427011,0,55.43189034306513,10.032990010067374,0,0,0,0,7.030689120319078,1.517283403500997,0,1.8865499667626855,0.5654775094172391,0,0,0,0,0,0,0,0,0,0,0,0,0
C10003,70.47161774955471,50.73956477967939,0,51.47246960427476,9.316347866491133,0,0,0,0,7.669842676711722,1.655218258364724,0,2.058054509195657,0.6168845557278972,0,0,0,0,0,0,0,0,0,0,0,0,0
C10004,30.589328583597926,22.024316580190504,0,22.342445597459925,4.043909238751646,0,0,0,0,14.061378240638156,3.034566807001994,0,3.773099933525371,1.1309550188344781,0,0,0,0,0,0,0,0,0,0,0,0,0
C10005,58.85541702160614,42.37590025555642,0,42.98799659258112,7.780686130256331,0,0,0,0,7.669842676711722,1.655218258364724,0,2.058054509195657,0.6168845557278972,0,0,0,0,0,0,0,0,0,0,0,0,0
C10006,48.40083636645241,34.848602183845735,0,35.35197088205684,6.398590567645009,0,0,0,0,3.1957677819632173,0.689674274318635,0,0.8575227121648571,0.2570352315532905,0,0,0,0,0,0,0,0,0,0,0,0,0
C10007,32.52536203825602,23.418260667544335,0,23.756524432742196,4.299852861457446,0,0,0,0,6.391535563926435,1.37934854863727,0,1.7150454243297142,0.514070463106581,0,0,0,0,0,0,0,0,0,0,0,0,0
C10008,20.521954619375823,14.775807325950593,0,14.9892356539921,2.713002400681484,0,0,0,0,18.53545313538666,4.000110791048083,0,4.973631730556171,1.490804343009085,0,0,0,0,0,0,0,0,0,0,0,0,0
C10009,75.11809804073414,54.08503058932858,0,54.86625880895222,9.930612560985054,0,0,0,0,7.030689120319078,1.517283403500997,0,1.8865499667626855,0.5654775094172391,0,0,0,0,0,0,0,0,0,0,0,0,0
C10010,58.468210330674516,42.09711143808565,0,42.705180825524664,7.729497405715171,0,0,0,0,2.556614225570574,0.551739419454908,0,0.6860181697318857,0.2056281852426324,0,0,0,0,0,0,0,0,0,0,0,0,0
C10011,48.78804305738403,35.127391001316504,0,35.634786649113295,6.449779292186169,0,0,0,0,3.834921338355861,0.827609129182362,0,1.0290272545978285,0.3084422778639486,0,0,0,0,0,0,0,0,0,0,0,0,0
C10012,39.10787578409355,28.157670564547356,0,28.56439247270193,5.170061178657168,0,0,0,0,2.556614225570574,0.551739419454908,0,0.6860181697318857,0.2056281852426324,0,0,0,0,0,0,0,0,0,0,0,0,0
C10013,48.40083636645241,34.848602183845735,0,35.35197088205684,6.398590567645009,0,0,0,0,11.504764015067583,2.482827387547086,0,3.0870817637934858,0.9253268335918459,0,0,0,0,0,0,0,0,0,0,0,0,0
C10014,63.889104003717186,46.00015488267637,0,46.66460156431503,8.446139549291413,0,0,0,0,2.556614225570574,0.551739419454908,0,0.6860181697318857,0.2056281852426324,0,0,0,0,0,0,0,0,0,0,0,0,0
C10015,80.53899171377681,57.988074033919304,0,58.82567954774258,10.647254704561295,0,0,0,0,100.34710835364503,21.65577221360514,0,26.926213161976513,8.070906270773323,0,0,0,0,0,0,0,0,0,0,0,0,0
C10016,46.464802911794315,33.454658096491904,0,33.937892046774564,6.142646944939209,0,0,0,0,3.1957677819632173,0.689674274318635,0,0.8575227121648571,0.2570352315532905,0,0,0,0,0,0,0,0,0,0,0,0,0
C10017,99.12491287849454,71.36993727251607,0,72.40083636645241,13.104313482536979,0,0,0,0,9.587303345889651,2.069022822955905,0,2.572568136494571,0.7711056946598716,0,0,0,0,0,0,0,0,0,0,0,0,0
C10018,18.973127855649345,13.660652056067528,0,13.857972585766282,2.5082475025168436,0,0,0,0,11.504764015067583,2.482827387547086,0,3.0870817637934858,0.9253268335918459,0,0,0,0,0,0,0,0,0,0,0,0,0
C10019,61.17865716719585,44.04863316038101,0,44.68489119491985,8.087818477503292,0,0,0,0,9.587303345889651,2.069022822955905,0,2.572568136494571,0.7711056946598716,0,0,0,0,0,0,0,0,0,0,0,0,0
C10020,72.79485789514443,52.41229768450399,0,53.16936420661349,9.623480213738095,0,0,0,0,10.226456902282296,2.206957677819632,0,2.7440726789275427,0.8225127409705296,0,0,0,0,0,0,0,0,0,0,0,0,0
C10021,49.17524974831565,35.406179818787265,0,35.91760241616975,6.500968016727329,0,0,0,0,7.030689120319078,1.517283403500997,0,1.8865499667626855,0.5654775094172391,0,0,0,0,0,0,0,0,0,0,0,0,0
C10022,18.973127855649345,13.660652056067528,0,13.857972585766282,2.5082475025168436,0,0,0,0,1.9174606691779306,0.413804564591181,0,0.5145136272989143,0.1542211389319743,0,0,0,0,0,0,0,0,0,0,0,0,0
C10023,41.431115929683266,29.83040346937195,0,30.261287075040656,5.477193525904128,0,0,0,0,2.556614225570574,0.551739419454908,0,0.6860181697318857,0.2056281852426324,0,0,0,0,0,0,0,0,0,0,0,0,0
C10024,80.15178502284519,57.70928521644854,0,58.542863780686126,10.596065980020136,0,0,0,0,10.86561045867494,2.344892532683359,0,2.9155772213605142,0.8739197872811877,0,0,0,0,0,0,0,0,0,0,0,0,0
C10025,10.84178734608534,7.806086889181445,0,7.918841477580733,1.433284287152482,0,0,0,0,7.030689120319078,1.517283403500997,0,1.8865499667626855,0.5654775094172391,0,0,0,0,0,0,0,0,0,0,0,0,0
C10026,26.330054983350113,18.957639588012082,0,19.231472159838923,3.480833268798885,0,0,0,0,6.391535563926435,1.37934854863727,0,1.7150454243297142,0.514070463106581,0,0,0,0,0,0,0,0,0,0,0,0,0
C10027,28.266088438008207,20.35158367536591,0,20.645550995121194,3.7367768915046855,0,0,0,0,30.040217150454243,6.482938178595169,0,8.060713494349656,2.416131176600931,0,0,0,0,0,0,0,0,0,0,0,0,0
C10028,53.82173003949508,38.75164562843646,0,39.3113916208472,7.115232711221251,0,0,0,0,4.4740748947485045,0.965543984046089,0,1.2005317970307998,0.3598493241746067,0,0,0,0,0,0,0,0,0,0,0,0,0
C10029,41.043909238751645,29.551614651901186,0,29.9784713079842,5.426004801362968,0,0,0,0,7.669842676711722,1.655218258364724,0,2.058054509195657,0.6168845557278972,0,0,0,0,0,0,0,0,0,0,0,0,0
C10030,33.68698211105088,24.254627119956634,0,24.60497173391156,4.453419035080926,0,0,0,0,3.834921338355861,0.827609129182362,0,1.0290272545978285,0.3084422778639486,0,0,0,0,0,0,0,0,0,0,0,0,0
C10031,29.040501819871448,20.909161310307443,0,21.211182529234105,3.8391543405870054,0,0,0,0,3.834921338355861,0.827609129182362,0,1.0290272545978285,0.3084422778639486,0,0,0,0,0,0,0,0,0,0,0,0,0
C10032,52.272903275768606,37.636490358553395,0,38.18012855262139,6.91047781305661,0,0,0,0,2.556614225570574,0.551739419454908,0,0.6860181697318857,0.2056281852426324,0,0,0,0,0,0,0,0,0,0,0,0,0
C10033,32.1381553473244,23.13947185007357,0,23.47370866568574,4.248664136916286,0,0,0,0,5.113228451141148,1.103478838909816,0,1.3720363394637713,0.4112563704852648,0,0,0,0,0,0,0,0,0,0,0,0,0
C10034,27.49167505614497,19.794006040424378,0,20.079919461008284,3.634399442422365,0,0,0,0,6.391535563926435,1.37934854863727,0,1.7150454243297142,0.514070463106581,0,0,0,0,0,0,0,0,0,0,0,0,0
C10035,73.95647796793929,53.24866413691628,0,54.01781150778285,9.777046387361574,0,0,0,0,3.1957677819632173,0.689674274318635,0,0.8575227121648571,0.2570352315532905,0,0,0,0,0,0,0,0,0,0,0,0,0
