,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C10001,36.050574369685215,12.41228486566395,0,8.403320087342166,1.1396118427298496,0,0,0,0,17.841971633689372,2.368061635440378,0,1.5229381894589389,1.1582910173349676,0,0,0,0,0,0,0,0,0,0,0,0,0
C10002,63.6568700581829,21.91718769072193,0,14.838294929000583,2.0122875781536083,0,0,0,0,4.005340570828226,0.5316056732621257,0,0.3418840833479251,0.26002451409560495,0,0,0,0,0,0,0,0,0,0,0,0,0
C10003,59.10995076831269,20.351674284241792,0,13.778416719786255,1.8685527511426363,0,0,0,0,4.369462440903519,0.5799334617405008,0,0.37296445456137284,0.2836631062861145,0,0,0,0,0,0,0,0,0,0,0,0,0
C10004,25.657615992839027,8.833968507995063,0,5.980741323423704,0.8110750952761994,0,0,0,0,8.010681141656452,1.0632113465242514,0,0.6837681666958502,0.5200490281912099,0,0,0,0,0,0,0,0,0,0,0,0,0
C10005,49.36655229001939,16.99700269892721,0,11.507249128612695,1.5605495504048392,0,0,0,0,4.369462440903519,0.5799334617405008,0,0.37296445456137284,0.2836631062861145,0,0,0,0,0,0,0,0,0,0,0,0,0
C10006,40.597493659555425,13.977798272144089,0,9.463198296556493,1.2833466697408218,0,0,0,0,1.8206093503764664,0.24163894239187533,0,0.15540185606723866,0.11819296095254771,0,0,0,0,0,0,0,0,0,0,0,0,0
C10007,27.281515739221245,9.393080438880828,0,6.359269255285964,0.8624089620658322,0,0,0,0,3.641218700752933,0.48327788478375067,0,0.31080371213447733,0.23638592190509541,0,0,0,0,0,0,0,0,0,0,0,0,0
C10008,17.2133373116515,5.926586467389093,0,4.012396077739953,0.5441389879701084,0,0,0,0,10.559534232183506,1.401505865872877,0,0.9013307651899843,0.6855191735247768,0,0,0,0,0,0,0,0,0,0,0,0,0
C10009,63.007310159630016,21.693542918367626,0,14.686883756255678,1.9917540314377553,0,0,0,0,4.005340570828226,0.5316056732621257,0,0.3418840833479251,0.26002451409560495,0,0,0,0,0,0,0,0,0,0,0,0,0
C10010,49.04177234074295,16.88518031275006,0,11.431543542240245,1.5502827770469125,0,0,0,0,1.4564874803011731,0.19331115391350026,0,0.12432148485379094,0.09455436876203817,0,0,0,0,0,0,0,0,0,0,0,0,0
C10011,40.922273608831865,14.089620658321241,0,9.538903882928945,1.2936134430987483,0,0,0,0,2.1847312204517597,0.2899667308702504,0,0.18648222728068642,0.14183155314305726,0,0,0,0,0,0,0,0,0,0,0,0,0
C10012,32.80277487692078,11.294061003892423,0,7.646264223617647,1.036944109150584,0,0,0,0,1.4564874803011731,0.19331115391350026,0,0.12432148485379094,0.09455436876203817,0,0,0,0,0,0,0,0,0,0,0,0,0
C10013,40.597493659555425,13.977798272144089,0,9.463198296556493,1.2833466697408218,0,0,0,0,6.55419366135528,0.8699001926107511,0,0.5594466818420593,0.42549465942917175,0,0,0,0,0,0,0,0,0,0,0,0,0
