,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C10001,54.85852814418179,23.783384484785167,0,24.16210656915241,1.3137488572547995,0,0,0,0,40.02230483271375,2.546468401486989,0,2.2193308550185873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10002,96.86731095729398,41.99588611727831,0,42.664620608593445,2.319772756954421,0,0,0,0,8.984599044078598,0.5716561717623853,0,0.49821713071845836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10003,89.94821731748726,38.996179966044146,0,39.617147707979626,2.154074702886248,0,0,0,0,9.80138077535847,0.6236249146498748,0,0.5435095971474091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10004,39.043456967480736,16.926913281964218,0,17.196454224892257,0.9350104479561187,0,0,0,0,17.969198088157196,1.1433123435247705,0,0.9964342614369167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10005,75.12158808933002,32.5682382133995,0,33.08684863523573,1.7990074441687347,0,0,0,0,9.80138077535847,0.6236249146498748,0,0.5435095971474091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10006,61.7776217839885,26.78309063601933,0,27.209579469766226,1.4794469113229725,0,0,0,0,4.0839086563993625,0.2598437144374478,0,0.2264623321447538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10007,41.51456183884027,17.99823690740499,0,18.284837403682904,0.9941883244090375,0,0,0,0,8.167817312798725,0.5196874288748956,0,0.4529246642895076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10008,26.193711636411127,11.356030429672195,0,11.53686169518088,0.6272854904009404,0,0,0,0,23.686670207116304,1.5070935437371975,0,1.313481526439572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10009,95.87886900875016,41.567356667102,0,42.22926733707718,2.2961016063732536,0,0,0,0,8.984599044078598,0.5716561717623853,0,0.49821713071845836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10010,74.6273671150581,32.353973488311354,0,32.8691719994776,1.7871718688781508,0,0,0,0,3.26712692511949,0.20787497154995827,0,0.18116986571580304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10011,62.27184275826041,26.997355361107484,0,27.427256105524357,1.4912824866135563,0,0,0,0,4.900690387679235,0.3118124573249374,0,0.27175479857370455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10012,49.91631840146271,21.640737233903618,0,21.98534021157111,1.1953931043489618,0,0,0,0,3.26712692511949,0.20787497154995827,0,0.18116986571580304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10013,61.7776217839885,26.78309063601933,0,27.209579469766226,1.4794469113229725,0,0,0,0,14.702071163037706,0.9354373719748121,0,0.8152643957211136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10014,81.54646075486482,35.35367963954552,0,35.91664490009142,1.9528699229463238,0,0,0,0,3.26712692511949,0.20787497154995827,0,0.18116986571580304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10015,102.79796264855688,44.56706281833617,0,45.276740237691,2.461799660441426,0,0,0,0,128.23473181094,8.159092633335861,0,7.11091722934527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10016,59.306516912628965,25.711767010578555,0,26.12119629097558,1.4202690348700537,0,0,0,0,4.0839086563993625,0.2598437144374478,0,0.2264623321447538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10017,126.52056941360846,54.85176962256759,0,55.72521875408123,3.0299072743894477,0,0,0,0,12.251725969198088,0.7795311433123435,0,0.6793869964342614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10018,24.216827739323495,10.498971529319578,0,10.666155152148361,0.5799431892386052,0,0,0,0,14.702071163037706,0.9354373719748121,0,0.8152643957211136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10019,78.08691393496147,33.853826563928436,0,34.392908449784514,1.8700208959122373,0,0,0,0,12.251725969198088,0.7795311433123435,0,0.6793869964342614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10020,92.9135431631187,40.28176831657307,0,40.92320752252841,2.2250881546297507,0,0,0,0,13.06850770047796,0.8314998861998331,0,0.7246794628632122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10021,62.76606373253232,27.21162008619564,0,27.644932741282485,1.50311806190414,0,0,0,0,8.984599044078598,0.5716561717623853,0,0.49821713071845836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10022,24.216827739323495,10.498971529319578,0,10.666155152148361,0.5799431892386052,0,0,0,0,2.4503451938396177,0.1559062286624687,0,0.13587739928685227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10023,52.88164424709416,22.926325584432547,0,23.29140002611989,1.2664065560924644,0,0,0,0,3.26712692511949,0.20787497154995827,0,0.18116986571580304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
