,BBB,BBH,BBW,BHB,BHH,BHW,BWB,BWH,BWW,HBB,HBH,HBW,HHB,HHH,HHW,HWB,HWH,HWW,WBB,WBH,WBW,WHB,WHH,WHW,WWB,WWH,WWW
C01001,0.14588859416445624,0.0,3.588859416445623,0.0,0.0,0.0,6.915119363395226,0.0,195.6657824933687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35645913931320544,0.0,14.0313285207195,0.0,0.0,0.0,13.180213775774739,0.0,26.90992302476768
C01002,0.10400670110288984,0.0,2.5585648471310902,0.0,0.0,0.0,4.929917632276979,0.0,139.49378751919588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33053483827224506,0.0,13.010868264667172,0.0,0.0,0.0,12.221652773900212,0.0,24.952837713875486
C01003,0.1291358369398297,0.0,3.17674158871981,0.0,0.0,0.0,6.121038670947927,0.0,173.19698450369958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795995692577673,0.0,18.878514736968054,0.0,0.0,0.0,17.73337853467874,0.0,36.2060782515056
C01004,0.11098701661315091,0.0,2.7302806086835125,0.0,0.0,0.0,5.260784587463354,0.0,148.85578668155802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157021497228093,0.0,24.23593108124277,0.0,0.0,0.0,22.765823794520003,0.0,46.48077613368963
C01005,0.12215552142956862,0.0,3.0050258271673878,0.0,0.0,0.0,5.790171715761553,0.0,163.83498534133744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4536752682168069,0.0,17.858054480915726,0.0,0.0,0.0,16.774817532804214,0.0,34.24899294061341
C01006,0.09423425938852435,0.0,2.318162780957699,0.0,0.0,0.0,4.466703895016055,0.0,126.38698869188887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5703346229011287,0.0,22.4501256331512,0.0,0.0,0.0,21.08834204123958,0.0,43.05587683962828
C01007,0.10121457489878542,0.0,2.4898785425101213,0.0,0.0,0.0,4.79757085020243,0.0,135.74898785425103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24628085988912377,0.0,9.69437243249711,0.0,0.0,0.0,9.106329517808001,0.0,18.59231045347585
C01008,0.10470473265391596,0.0,2.5757364232863322,0.0,0.0,0.0,4.963004327795617,0.0,140.42998743543208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795995692577673,0.0,18.878514736968054,0.0,0.0,0.0,17.73337853467874,0.0,36.2060782515056
C01009,0.0865559123272372,0.0,2.1292754432500347,0.0,0.0,0.0,4.102750244311043,0.0,116.08878961329053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49256171977824753,0.0,19.38874486499422,0.0,0.0,0.0,18.212659035616003,0.0,37.1846209069517
C01010,0.11308111126622923,0.0,2.781795337149239,0.0,0.0,0.0,5.360044674019266,0.0,151.66438643026666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42126989191560643,0.0,16.58247916085032,0.0,0.0,0.0,15.576616280461055,0.0,31.802636301998167
