,BBB,BBH,BBW,BHB,BHH,BHW,BWB,BWH,BWW,HBB,HBH,HBW,HHB,HHH,HHW,HWB,HWH,HWW,WBB,WBH,WBW,WHB,WHH,WHW,WWB,WWH,WWW
C01001,0.0,0.0,9.466125483650709,0.0,0.0,0.0,10.86146726348532,0.0,170.70738183749336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6509566409821079,0.0,11.97221496669714,0.0,0.0,0.0,11.784559879848505,0.0,27.182153584954943
C01002,0.0,0.0,6.748577497913663,0.0,0.0,0.0,7.743342690235945,0.0,121.70047796070101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036143398197727,0.0,11.10150842366462,0.0,0.0,0.0,10.927500979495887,0.0,25.20526968786731
C01003,0.0,0.0,8.37910628935589,0.0,0.0,0.0,9.61421743418557,0.0,151.10462028677642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8758325715031997,0.0,16.108071046101607,0.0,0.0,0.0,15.855589656523444,0.0,36.57235209612119
C01004,0.0,0.0,7.2015021622031705,0.0,0.0,0.0,8.26303011911084,0.0,129.86829527349974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.124379652605459,0.0,20.679280397022332,0.0,0.0,0.0,20.355148883374692,0.0,46.95099255583126
C01005,0.0,0.0,7.926181625066383,0.0,0.0,0.0,9.094530005310673,0.0,142.9368029739777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8284902703408646,0.0,15.237364503069086,0.0,0.0,0.0,14.998530756170824,0.0,34.59546819903356
C01006,0.0,0.0,6.114482967908352,0.0,0.0,0.0,7.015780289811091,0.0,110.26553372278279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0415306255713728,0.0,19.155543946715422,0.0,0.0,0.0,18.855295807757606,0.0,43.491445735927904
C01007,0.0,0.0,6.5674076321978605,0.0,0.0,0.0,7.535467718685987,0.0,118.43335103558151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4497518610421837,0.0,8.271712158808933,0.0,0.0,0.0,8.142059553349876,0.0,18.780397022332505
C01008,0.0,0.0,6.793869964342614,0.0,0.0,0.0,7.795311433123435,0.0,122.51725969198088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8758325715031997,0.0,16.108071046101607,0.0,0.0,0.0,15.855589656523444,0.0,36.57235209612119
C01009,0.0,0.0,5.616265837189895,0.0,0.0,0.0,6.444124118048706,0.0,101.2809346787042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8995037220843674,0.0,16.543424317617866,0.0,0.0,0.0,16.28411910669975,0.0,37.56079404466501
C01010,0.0,0.0,7.337379561490023,0.0,0.0,0.0,8.41893634777331,0.0,132.31864046733935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7693123938879457,0.0,14.148981324278438,0.0,0.0,0.0,13.927207130730052,0.0,32.124363327674025
C01011,0.0,0.0,9.420833017221758,0.0,0.0,0.0,10.80949852059783,0.0,169.8906001062135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8403258456314484,0.0,15.455041138827218,0.0,0.0,0.0,15.21279548125898,0.0,35.08968917330547
C01012,0.0,0.0,9.873757681511266,0.0,0.0,0.0,11.329185949472725,0.0,178.05841741901222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8521614209220322,0.0,15.672717774585347,0.0,0.0,0.0,15.427060206347134,0.0,35.58391014757738
C01013,0.0,0.0,4.302784310750322,0.0,0.0,0.0,4.937030574311509,0.0,77.59426447158789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43791628575159985,0.0,8.054035523050803,0.0,0.0,0.0,7.927794828261722,0.0,18.286176048060597
C01014,0.0,0.0,8.28852135649799,0.0,0.0,0.0,9.51027994841059,0.0,149.47105682421667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586815985372862,0.0,17.631807496408516,0.0,0.0,0.0,17.355442732140524,0.0,40.03189891602455
C01015,0.0,0.0,6.839162430771565,0.0,0.0,0.0,7.8472801760109245,0.0,123.33404142326076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6864633668538592,0.0,12.62524487397153,0.0,0.0,0.0,12.42735405511297,0.0,28.664816507770666
C01016,0.0,0.0,8.832030953645399,0.0,0.0,0.0,10.133904863060465,0.0,159.27243759957514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8403258456314484,0.0,15.455041138827218,0.0,0.0,0.0,15.21279548125898,0.0,35.08968917330547
C01017,0.0,0.0,8.24322889006904,0.0,0.0,0.0,9.458311205523101,0.0,148.65427509293679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5089297374951025,0.0,9.360095337599581,0.0,0.0,0.0,9.21338317879065,0.0,21.251501893692044
C01018,0.0,0.0,8.832030953645399,0.0,0.0,0.0,10.133904863060465,0.0,159.27243759957514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681076139480215,0.0,10.448478516390232,0.0,0.0,0.0,10.284706804231423,0.0,23.722606765051587
C01019,0.0,0.0,9.103785752219103,0.0,0.0,0.0,10.445717320385404,0.0,164.1731279872544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8521614209220322,0.0,15.672717774585347,0.0,0.0,0.0,15.427060206347134,0.0,35.58391014757738
C01020,0.0,0.0,7.699719292921629,0.0,0.0,0.0,8.834686290873226,0.0,138.85289431757832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35506725871751343,0.0,6.530299072743895,0.0,0.0,0.0,6.427941752644639,0.0,14.826629228157241
C01021,0.0,0.0,8.28852135649799,0.0,0.0,0.0,9.51027994841059,0.0,149.47105682421667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8403258456314484,0.0,15.455041138827218,0.0,0.0,0.0,15.21279548125898,0.0,35.08968917330547
C01022,0.0,0.0,5.118048706471436,0.0,0.0,0.0,5.872467946286321,0.0,92.29633563462559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49709416220451874,0.0,9.142418701841452,0.0,0.0,0.0,8.999118453702495,0.0,20.757280919420136
C01023,0.0,0.0,12.953645398679917,0.0,0.0,0.0,14.863060465822016,0.0,233.59957514604355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8403258456314484,0.0,15.455041138827218,0.0,0.0,0.0,15.21279548125898,0.0,35.08968917330547
C01024,0.0,0.0,6.476822699339959,0.0,0.0,0.0,7.431530232911008,0.0,116.79978757302177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5089297374951025,0.0,9.360095337599581,0.0,0.0,0.0,9.21338317879065,0.0,21.251501893692044
C01025,0.0,0.0,8.28852135649799,0.0,0.0,0.0,9.51027994841059,0.0,149.47105682421667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43791628575159985,0.0,8.054035523050803,0.0,0.0,0.0,7.927794828261722,0.0,18.286176048060597
C01026,0.0,0.0,5.118048706471436,0.0,0.0,0.0,5.872467946286321,0.0,92.29633563462559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49709416220451874,0.0,9.142418701841452,0.0,0.0,0.0,8.999118453702495,0.0,20.757280919420136
C01027,0.0,0.0,7.518549427205826,0.0,0.0,0.0,8.626811319323268,0.0,135.58576739245885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8166546950502809,0.0,15.019687867310957,0.0,0.0,0.0,14.78426603108267,0.0,34.10124722476166
C01028,0.0,0.0,2.3099157878764887,0.0,0.0,0.0,2.650405887261968,0.0,41.6558682952735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37873840929868097,0.0,6.965652344260154,0.0,0.0,0.0,6.8564712028209485,0.0,15.815071176701057
C01029,0.0,0.0,9.239663151505955,0.0,0.0,0.0,10.601623549047872,0.0,166.623473181094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.230899830220713,0.0,22.6383701188455,0.0,0.0,0.0,22.283531409168084,0.0,51.39898132427844
C01030,0.0,0.0,8.33381382292694,0.0,0.0,0.0,9.56224869129808,0.0,150.28783855549653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8521614209220322,0.0,15.672717774585347,0.0,0.0,0.0,15.427060206347134,0.0,35.58391014757738
C01031,0.0,0.0,6.612700098626811,0.0,0.0,0.0,7.587436461573477,0.0,119.25013276686138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0415306255713728,0.0,19.155543946715422,0.0,0.0,0.0,18.855295807757606,0.0,43.491445735927904
C01032,0.0,0.0,7.609134360063727,0.0,0.0,0.0,8.730748805098248,0.0,137.2193308550186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.029695050280789,0.0,18.937867310957294,0.0,0.0,0.0,18.641031082669453,0.0,42.997224761656
C01033,0.0,0.0,7.971474091495334,0.0,0.0,0.0,9.146498748198164,0.0,143.75358470525757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4439401854512213,0.0,26.55654956249184,0.0,0.0,0.0,26.140296460754865,0.0,60.29495886117278
C01034,0.0,0.0,6.5674076321978605,0.0,0.0,0.0,7.535467718685987,0.0,118.43335103558151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43791628575159985,0.0,8.054035523050803,0.0,0.0,0.0,7.927794828261722,0.0,18.286176048060597
C01035,0.0,0.0,8.469691222213791,0.0,0.0,0.0,9.718154919960549,0.0,152.73818374933617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3019132819642159,0.0,23.94442993339428,0.0,0.0,0.0,23.56911975969701,0.0,54.364307169909885
C01036,0.0,0.0,7.065624762916318,0.0,0.0,0.0,8.107123890448372,0.0,127.41795007966012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0415306255713728,0.0,19.155543946715422,0.0,0.0,0.0,18.855295807757606,0.0,43.491445735927904
C01037,0.0,0.0,6.929747363629466,0.0,0.0,0.0,7.951217661785904,0.0,124.96760488582049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1125440773148754,0.0,20.461603761264204,0.0,0.0,0.0,20.140884158286536,0.0,46.45677158155935
C01038,0.0,0.0,6.612700098626811,0.0,0.0,0.0,7.587436461573477,0.0,119.25013276686138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7811479691785295,0.0,14.366657960036568,0.0,0.0,0.0,14.141471855818207,0.0,32.61858430194593
C01039,0.0,0.0,5.208633639329338,0.0,0.0,0.0,5.9764054320613,0.0,93.92989909718534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7574768185973619,0.0,13.931304688520308,0.0,0.0,0.0,13.712942405641897,0.0,31.630142353402114
C01040,0.0,0.0,6.069190501479402,0.0,0.0,0.0,6.963811546923602,0.0,109.44875199150292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1953931043489618,0.0,21.98534021157111,0.0,0.0,0.0,21.640737233903618,0.0,49.91631840146271
C01041,0.0,0.0,6.295652833624156,0.0,0.0,0.0,7.22365526136105,0.0,113.53266064790228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3669028340080972,0.0,6.747975708502024,0.0,0.0,0.0,6.642206477732794,0.0,15.320850202429149
