,BBB,BBH,BBW,BHB,BHH,BHW,BWB,BWH,BWW,HBB,HBH,HBW,HHB,HHH,HHW,HWB,HWH,HWW,WBB,WBH,WBW,WHB,WHH,WHW,WWB,WWH,WWW
C01001,10.744072678927543,0.0,35.84444936849103,0.0,0.0,0.0,28.828384666518943,0.0,133.58309328606248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.815379849763804,0.0,15.55486718810501,0.0,0.0,0.0,15.333384960892124,0.0,21.296368001239063
C01002,7.659649900288057,0.0,25.55417682251274,0.0,0.0,0.0,20.552293374695324,0.0,95.23387990250387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6106249515991635,0.0,14.42360411987919,0.0,0.0,0.0,14.21822969100906,0.0,19.747541237512586
C01003,9.510303567471748,0.0,31.728340350099714,0.0,0.0,0.0,25.517948149789497,0.0,118.24340793263904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7879656160458453,0.0,20.92836676217765,0.0,0.0,0.0,20.630372492836678,0.0,28.653295128939828
C01004,8.173720363394638,0.0,27.269222246842457,0.0,0.0,0.0,21.93164192333259,0.0,101.62541546643031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.862928831410207,0.0,26.8674978703632,0.0,0.0,0.0,26.48493765972276,0.0,36.784635638503836
C01005,8.996233104365167,0.0,30.013294925769998,0.0,0.0,0.0,24.138599601152226,0.0,111.8518723687126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.583210717881205,0.0,19.79710369395183,0.0,0.0,0.0,19.515217222953613,0.0,27.10446836521335
C01006,6.939951251938844,0.0,23.15311322845114,0.0,0.0,0.0,18.621205406603146,0.0,86.28573011300686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.504607759622086,0.0,24.887787500968017,0.0,0.0,0.0,24.5334159374274,0.0,34.0741888019825
C01007,7.454021715045425,0.0,24.868158652780856,0.0,0.0,0.0,20.000553955240417,0.0,92.6772656769333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9451715325640828,0.0,10.74699914814528,0.0,0.0,0.0,10.593975063889104,0.0,14.713854255401534
C01008,7.711056946598715,0.0,25.725681364945714,0.0,0.0,0.0,20.69022822955905,0.0,95.87303345889653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7879656160458453,0.0,20.92836676217765,0.0,0.0,0.0,20.630372492836678,0.0,28.653295128939828
C01009,6.374473742521604,0.0,21.266563261688457,0.0,0.0,0.0,17.10392200310215,0.0,79.2550409926878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8903430651281656,0.0,21.49399829629056,0.0,0.0,0.0,21.18795012777821,0.0,29.42770851080307
C01010,8.327941502326613,0.0,27.78373587414137,0.0,0.0,0.0,22.345446487923773,0.0,103.54287613560824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.327267095175405,0.0,18.383024858669557,0.0,0.0,0.0,18.121273135599782,0.0,25.168434910555256
C01011,10.692665632616885,0.0,35.67294482605806,0.0,0.0,0.0,28.690449811655217,0.0,132.94393972966984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.634399442422365,0.0,20.079919461008284,0.0,0.0,0.0,19.794006040424378,0.0,27.49167505614497
C01012,11.206736095723466,0.0,37.387990250387766,0.0,0.0,0.0,30.069798360292488,0.0,139.3354752935963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6855881669635253,0.0,20.36273522806474,0.0,0.0,0.0,20.072794857895143,0.0,27.87888174707659
C01013,4.883669399512519,0.0,16.292931531132286,0.0,0.0,0.0,13.103811212054065,0.0,60.71958785730113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8939828080229226,0.0,10.464183381088825,0.0,0.0,0.0,10.315186246418339,0.0,14.326647564469914
C01014,9.407489474850433,0.0,31.38533126523377,0.0,0.0,0.0,25.24207844006204,0.0,116.96510081985376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.146286687833966,0.0,22.90807713157283,0.0,0.0,0.0,22.58189421513204,0.0,31.363741965461163
C01015,7.762463992909374,0.0,25.897185907378685,0.0,0.0,0.0,20.828163084422776,0.0,96.51218701528917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9689460233872844,0.0,16.403314489274376,0.0,0.0,0.0,16.16975141330442,0.0,22.45798807403392
C01016,10.024374030578329,0.0,33.44338577442943,0.0,0.0,0.0,26.897296698426764,0.0,124.63494349656548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.634399442422365,0.0,20.079919461008284,0.0,0.0,0.0,19.794006040424378,0.0,27.49167505614497
C01017,9.356082428539775,0.0,31.2138267228008,0.0,0.0,0.0,25.104143585198315,0.0,116.32594726346112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2011151552698833,0.0,12.161077983427553,0.0,0.0,0.0,11.987919151242933,0.0,16.64988771005963
C01018,10.024374030578329,0.0,33.44338577442943,0.0,0.0,0.0,26.897296698426764,0.0,124.63494349656548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4570587779756834,0.0,13.575156818709827,0.0,0.0,0.0,13.381863238596763,0.0,18.585921164717725
C01019,10.332816308442279,0.0,34.47241302902726,0.0,0.0,0.0,27.724905827609128,0.0,128.46986483492134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6855881669635253,0.0,20.36273522806474,0.0,0.0,0.0,20.072794857895143,0.0,27.87888174707659
C01020,8.739197872811877,0.0,29.15577221360514,0.0,0.0,0.0,23.44892532683359,0.0,108.6561045867494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5356617362348022,0.0,8.484473011693641,0.0,0.0,0.0,8.363664524122976,0.0,11.616200727948579
C01021,9.407489474850433,0.0,31.38533126523377,0.0,0.0,0.0,25.24207844006204,0.0,116.96510081985376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.634399442422365,0.0,20.079919461008284,0.0,0.0,0.0,19.794006040424378,0.0,27.49167505614497
C01022,5.808996233104366,0.0,19.38001329492577,0.0,0.0,0.0,15.586638599601152,0.0,72.22435187236871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149926430728723,0.0,11.878262216371098,0.0,0.0,0.0,11.709130333772167,0.0,16.26268101912801
C01023,14.702415244848217,0.0,49.050299135829825,0.0,0.0,0.0,39.44936849102592,0.0,182.79791712829604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.634399442422365,0.0,20.079919461008284,0.0,0.0,0.0,19.794006040424378,0.0,27.49167505614497
C01024,7.351207622424108,0.0,24.525149567914912,0.0,0.0,0.0,19.72468424551296,0.0,91.39895856414802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2011151552698833,0.0,12.161077983427553,0.0,0.0,0.0,11.987919151242933,0.0,16.64988771005963
C01025,9.407489474850433,0.0,31.38533126523377,0.0,0.0,0.0,25.24207844006204,0.0,116.96510081985376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8939828080229226,0.0,10.464183381088825,0.0,0.0,0.0,10.315186246418339,0.0,14.326647564469914
C01026,5.808996233104366,0.0,19.38001329492577,0.0,0.0,0.0,15.586638599601152,0.0,72.22435187236871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149926430728723,0.0,11.878262216371098,0.0,0.0,0.0,11.709130333772167,0.0,16.26268101912801
C01027,8.533569687569244,0.0,28.469754043873255,0.0,0.0,0.0,22.89718590737868,0.0,106.09949036117882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.532021993340045,0.0,19.514287926895378,0.0,0.0,0.0,19.236428405482847,0.0,26.717261674281733
